negatives
"frozenset({'Q92731', 'A8CG34', 'CRH'})"
"frozenset({'P10599', 'Q12933', 'CRH'})"
"frozenset({'Q9Y3T9', 'Q9BYG3', 'CRH'})"
"frozenset({'P14618', 'Q92905', 'CRH'})"
"frozenset({'P62316', 'CRH', 'Q01081'})"
"frozenset({'Q13573', 'CRH', 'Q96P48'})"
"frozenset({'Q9H5I1', 'P45973', 'CRH'})"
"frozenset({'P50914', 'Q8TDD1', 'CRH'})"
"frozenset({'P07550', 'P04181', 'CRH'})"
"frozenset({'Q9Y6K9', 'Q9UBS0', 'CRH'})"
"frozenset({'Q5T7P2', 'Q5TCM9', 'CRH'})"
"frozenset({'Q15393', 'Q9Y675', 'CRH'})"
"frozenset({'P50991', 'Q99832', 'CRH'})"
"frozenset({'Q96EE3', 'Q9H6Z9', 'CRH'})"
"frozenset({'Q9UJ41', 'CRH', 'Q14BN4'})"
"frozenset({'P48051', 'Q9UBS5', 'CRH'})"
"frozenset({'Q8TCT1', 'P48643', 'CRH'})"
"frozenset({'P62318', 'Q92905', 'CRH'})"
"frozenset({'Q8TCE9', 'Q969V4', 'CRH'})"
"frozenset({'Q8IWL3', 'CRH', 'Q96RT1'})"
"frozenset({'P27708', 'CRH', 'Q6R327'})"
"frozenset({'Q8N335', 'Q13508', 'CRH'})"
"frozenset({'O14512', 'Q8IZP0', 'CRH'})"
"frozenset({'P23771', 'P46094', 'CRH'})"
"frozenset({'Q5RKV6', 'P51858', 'CRH'})"
"frozenset({'Q86V42', 'Q13976', 'CRH'})"
"frozenset({'O95273', 'P41235', 'CRH'})"
"frozenset({'P46776', 'P63173', 'CRH'})"
"frozenset({'P41220', 'Q9UL03', 'CRH'})"
"frozenset({'P49736', 'Q9UL46', 'CRH'})"
"frozenset({'P34897', 'Q96I15', 'CRH'})"
"frozenset({'O15197', 'Q8N5V2', 'CRH'})"
"frozenset({'P49411', 'O00567', 'CRH'})"
"frozenset({'P21281', 'Q9Y3E0', 'CRH'})"
"frozenset({'P43034', 'CRH', 'Q9NXR1'})"
"frozenset({'Q86V81', 'Q15020', 'CRH'})"
"frozenset({'Q12982', 'P0DMV9', 'CRH'})"
"frozenset({'Q9Y2Z9', 'CRH', 'Q9Y6H1'})"
"frozenset({'P06400', 'Q01094', 'CRH'})"
"frozenset({'P26599', 'P36542', 'CRH'})"
"frozenset({'P19438', 'P45983', 'CRH'})"
"frozenset({'P61964', 'P19784', 'CRH'})"
"frozenset({'P32969', 'P63220', 'CRH'})"
"frozenset({'P01106', 'O43795', 'CRH'})"
"frozenset({'P33992', 'P55036', 'CRH'})"
"frozenset({'Q8NH72', 'CRH', 'P62873'})"
"frozenset({'O15084', 'Q9NYY3', 'CRH'})"
"frozenset({'Q9UHB6', 'Q9C0B5', 'CRH'})"
"frozenset({'Q08379', 'Q8TAU3', 'CRH'})"
"frozenset({'Q04206', 'CRH', 'P46695'})"
"frozenset({'Q9UBU9', 'Q9NWF9', 'CRH'})"
"frozenset({'P55789', 'Q13885', 'CRH'})"
"frozenset({'P28072', 'Q99460', 'CRH'})"
"frozenset({'P80404', 'Q8WUM4', 'CRH'})"
"frozenset({'P49736', 'Q9Y262', 'CRH'})"
"frozenset({'P51681', 'Q99731', 'CRH'})"
"frozenset({'P23109', 'Q86VP6', 'CRH'})"
"frozenset({'Q16526', 'CRH', 'Q9UGI9'})"
"frozenset({'P12956', 'CRH', 'Q00987'})"
"frozenset({'Q9UKV8', 'Q9BVP2', 'CRH'})"
"frozenset({'P62877', 'CRH', 'P57737'})"
"frozenset({'Q96J02', 'CRH', 'O43809'})"
"frozenset({'Q12931', 'P11021', 'CRH'})"
"frozenset({'Q12952', 'CRH', 'Q9NRL2'})"
"frozenset({'Q96AX9', 'Q5VVX9', 'CRH'})"
"frozenset({'P60709', 'P18084', 'CRH'})"
"frozenset({'P35580', 'P68032', 'CRH'})"
"frozenset({'Q9UKT9', 'Q6PF18', 'CRH'})"
"frozenset({'Q9NXC5', 'O95714', 'CRH'})"
"frozenset({'Q9UBF6', 'Q15345', 'CRH'})"
"frozenset({'CRH', 'Q9Y2T4', 'Q02641'})"
"frozenset({'P46379', 'CRH', 'P02766'})"
"frozenset({'CRH', 'Q9NRA1', 'P35968'})"
"frozenset({'Q9NXC5', 'Q9HBE1', 'CRH'})"
"frozenset({'O60308', 'CRH', 'Q7Z4H7'})"
"frozenset({'Q14254', 'CRH', 'P43307'})"
"frozenset({'P23396', 'Q5S007', 'CRH'})"
"frozenset({'Q96B77', 'Q8IUH5', 'CRH'})"
"frozenset({'A1L3X4', 'CRH', 'P50222'})"
"frozenset({'P29317', 'O14828', 'CRH'})"
"frozenset({'Q96BW1', 'CRH', 'O15442'})"
"frozenset({'O14950', 'O75116', 'CRH'})"
"frozenset({'P49841', 'CRH', 'Q16637'})"
"frozenset({'Q96ES6', 'Q9Y385', 'CRH'})"
"frozenset({'CRH', 'Q9UMS4', 'Q15029'})"
"frozenset({'Q9NRC8', 'CRH', 'Q9Y2R4'})"
"frozenset({'Q6B0K9', 'CRH', 'P69892'})"
"frozenset({'O95711', 'P05067', 'CRH'})"
