negatives
"frozenset({'P05412', 'Q16643', 'TSLP'})"
"frozenset({'O75971', 'TSLP', 'Q4VCS5'})"
"frozenset({'P05067', 'Q15907', 'TSLP'})"
"frozenset({'Q99665', 'TSLP', 'P13232'})"
"frozenset({'P14316', 'P05067', 'TSLP'})"
"frozenset({'P22612', 'TSLP', 'Q8NGJ0'})"
"frozenset({'Q14166', 'TSLP', 'Q99614'})"
"frozenset({'Q10586', 'TSLP', 'P09874'})"
"frozenset({'Q12904', 'TSLP', 'P41091'})"
"frozenset({'O75439', 'TSLP', 'Q8WV93'})"
"frozenset({'TSLP', 'Q6P1W5', 'Q13643'})"
"frozenset({'TSLP', 'P43686', 'P28566'})"
"frozenset({'TSLP', 'P14678', 'P78362'})"
"frozenset({'TSLP', 'Q00532', 'Q6PIV2'})"
"frozenset({'TSLP', 'Q12931', 'Q96FW1'})"
"frozenset({'P09543', 'TSLP', 'P48039'})"
"frozenset({'P20823', 'Q9UBS8', 'TSLP'})"
"frozenset({'Q92979', 'TSLP', 'P17844'})"
"frozenset({'TSLP', 'P53992', 'P62306'})"
"frozenset({'TSLP', 'P17612', 'Q9H340'})"
"frozenset({'TSLP', 'Q16236', 'Q8IUH3'})"
"frozenset({'P67775', 'TSLP', 'P63151'})"
"frozenset({'TSLP', 'P49736', 'Q16778'})"
"frozenset({'Q9NYF8', 'TSLP', 'Q15020'})"
"frozenset({'P14625', 'TSLP', 'P04179'})"
"frozenset({'Q8N6W0', 'A0AV96', 'TSLP'})"
"frozenset({'O95347', 'P48431', 'TSLP'})"
"frozenset({'Q14576', 'TSLP', 'Q16543'})"
"frozenset({'O43399', 'Q9Y371', 'TSLP'})"
"frozenset({'O15397', 'Q86VQ0', 'TSLP'})"
"frozenset({'TSLP', 'Q9P0N5', 'Q9NW68'})"
"frozenset({'TSLP', 'O14595', 'Q8IZ07'})"
"frozenset({'P78537', 'Q9UL45', 'TSLP'})"
"frozenset({'TSLP', 'P49736', 'P0DP23'})"
"frozenset({'P10114', 'TSLP', 'P00747'})"
"frozenset({'TSLP', 'Q9NYW8', 'Q96A72'})"
"frozenset({'Q9NP92', 'Q8IXM3', 'TSLP'})"
"frozenset({'TSLP', 'O43390', 'Q01081'})"
"frozenset({'P15880', 'TSLP', 'P62979'})"
"frozenset({'P60410', 'Q5TA81', 'TSLP'})"
"frozenset({'P46108', 'TSLP', 'P11274'})"
"frozenset({'TSLP', 'O43681', 'P11441'})"
"frozenset({'TSLP', 'Q96CS3', 'Q5VV42'})"
"frozenset({'Q8IYH5', 'TSLP', 'Q13315'})"
"frozenset({'P39656', 'TSLP', 'Q9UKV8'})"
"frozenset({'TSLP', 'Q13485', 'Q8NI38'})"
"frozenset({'Q92845', 'TSLP', 'O43290'})"
"frozenset({'TSLP', 'P35228', 'P62979'})"
"frozenset({'TSLP', 'Q86UU5', 'Q6A162'})"
"frozenset({'Q9H4B6', 'P25054', 'TSLP'})"
"frozenset({'Q9H6Z9', 'TSLP', 'O43318'})"
"frozenset({'Q9UIA9', 'TSLP', 'Q9UER7'})"
"frozenset({'TSLP', 'Q00653', 'O15226'})"
"frozenset({'TSLP', 'Q16576', 'Q8IV32'})"
"frozenset({'TSLP', 'Q86WV6', 'O75604'})"
"frozenset({'TSLP', 'Q9Y343', 'O14980'})"
"frozenset({'Q02779', 'TSLP', 'P45985'})"
"frozenset({'Q13469', 'P01100', 'TSLP'})"
"frozenset({'TSLP', 'Q70EK8', 'P30154'})"
"frozenset({'Q96FZ7', 'Q9H444', 'TSLP'})"
"frozenset({'TSLP', 'Q13315', 'Q96SD1'})"
"frozenset({'TSLP', 'Q05707', 'P16070'})"
"frozenset({'TSLP', 'P49736', 'P68871'})"
"frozenset({'TSLP', 'P49591', 'Q16204'})"
"frozenset({'Q9BR76', 'P58107', 'TSLP'})"
"frozenset({'Q99436', 'O00487', 'TSLP'})"
"frozenset({'TSLP', 'P37198', 'Q12934'})"
"frozenset({'TSLP', 'Q9BQS8', 'Q9BY77'})"
"frozenset({'TSLP', 'P49591', 'Q9UHV9'})"
"frozenset({'O60245', 'P78527', 'TSLP'})"
