negatives
"frozenset({'P55316', 'P31276', 'TCR'})"
"frozenset({'P28290', 'Q9NQW6', 'TCR'})"
"frozenset({'Q13137', 'Q2TBE0', 'TCR'})"
"frozenset({'Q9P2W3', 'Q8NGS9', 'TCR'})"
"frozenset({'Q16082', 'Q9NPC6', 'TCR'})"
"frozenset({'P81605', 'Q504Q3', 'TCR'})"
"frozenset({'P19174', 'P01588', 'TCR'})"
"frozenset({'TCR', 'P32121', 'Q8NG83'})"
"frozenset({'Q8WVJ2', 'Q8TD19', 'TCR'})"
"frozenset({'Q92934', 'P61981', 'TCR'})"
"frozenset({'Q9Y2A7', 'P15884', 'TCR'})"
"frozenset({'P01579', 'P08887', 'TCR'})"
"frozenset({'Q15047', 'O00471', 'TCR'})"
"frozenset({'P27816', 'Q14994', 'TCR'})"
"frozenset({'O14773', 'P01023', 'TCR'})"
"frozenset({'TCR', 'O95817', 'O76083'})"
"frozenset({'TCR', 'Q96C28', 'P82663'})"
"frozenset({'Q5T749', 'P62993', 'TCR'})"
"frozenset({'Q96KG7', 'Q8TBE0', 'TCR'})"
"frozenset({'P00558', 'P54277', 'TCR'})"
"frozenset({'TCR', 'P01912', 'P19474'})"
"frozenset({'Q13404', 'Q15067', 'TCR'})"
"frozenset({'O76024', 'Q99941', 'TCR'})"
"frozenset({'Q99567', 'Q14315', 'TCR'})"
"frozenset({'Q9ULD2', 'Q9Y2I6', 'TCR'})"
"frozenset({'Q15369', 'Q99619', 'TCR'})"
"frozenset({'Q6WCQ1', 'Q99490', 'TCR'})"
"frozenset({'Q14671', 'Q15717', 'TCR'})"
"frozenset({'Q9NP66', 'Q9BY27', 'TCR'})"
"frozenset({'Q5VWX1', 'Q9BQA1', 'TCR'})"
"frozenset({'Q8WYR1', 'TCR', 'P08172'})"
"frozenset({'Q99666', 'P06493', 'TCR'})"
"frozenset({'P40938', 'P25205', 'TCR'})"
"frozenset({'TCR', 'P48059', 'Q9HBI0'})"
"frozenset({'O43809', 'TCR', 'O75147'})"
"frozenset({'Q01484', 'P16070', 'TCR'})"
"frozenset({'Q5T9A4', 'P04637', 'TCR'})"
"frozenset({'TCR', 'Q12986', 'P22626'})"
"frozenset({'TCR', 'O94864', 'Q9UPT9'})"
"frozenset({'P49736', 'P63104', 'TCR'})"
"frozenset({'Q5SSQ6', 'TCR', 'P26232'})"
"frozenset({'Q16206', 'P48431', 'TCR'})"
"frozenset({'Q14190', 'Q9Y266', 'TCR'})"
"frozenset({'Q92753', 'Q14686', 'TCR'})"
"frozenset({'P62070', 'TCR', 'P00540'})"
"frozenset({'Q15717', 'Q15022', 'TCR'})"
"frozenset({'Q9BVJ6', 'P67870', 'TCR'})"
"frozenset({'Q9H2C0', 'P12236', 'TCR'})"
"frozenset({'TCR', 'P50549', 'Q16659'})"
"frozenset({'P05067', 'O43175', 'TCR'})"
"frozenset({'O95551', 'Q9Y4K3', 'TCR'})"
"frozenset({'Q13617', 'P19235', 'TCR'})"
"frozenset({'O60880', 'O15389', 'TCR'})"
"frozenset({'Q9C0J9', 'Q9Y272', 'TCR'})"
