negatives
"frozenset({'O43390', 'Q6PJ61', 'Leptin'})"
"frozenset({'Leptin', 'Q96ST3', 'Q9Y4K0'})"
"frozenset({'Leptin', 'P42858', 'P54578'})"
"frozenset({'Leptin', 'P55072', 'P09327'})"
"frozenset({'Leptin', 'P05000', 'P40189'})"
"frozenset({'Leptin', 'O43318', 'P63261'})"
"frozenset({'Leptin', 'Q03112', 'Q969G3'})"
"frozenset({'Leptin', 'Q15056', 'P06730'})"
"frozenset({'P61964', 'Q6ZSY5', 'Leptin'})"
"frozenset({'Leptin', 'Q8WV44', 'Q9UBU8'})"
"frozenset({'Leptin', 'Q9BXJ5', 'Q969R8'})"
"frozenset({'Q13362', 'Leptin', 'Q9UF02'})"
"frozenset({'Q00987', 'Leptin', 'P18848'})"
"frozenset({'Q9UBC1', 'Leptin', 'Q9NQ29'})"
"frozenset({'Leptin', 'Q9NTI5', 'O95274'})"
"frozenset({'O95747', 'Leptin', 'Q13621'})"
"frozenset({'Q9UMX0', 'Leptin', 'Q9BVW6'})"
"frozenset({'Leptin', 'P46734', 'Q13546'})"
"frozenset({'P51398', 'Leptin', 'P55157'})"
"frozenset({'Q99075', 'Leptin', 'Q05516'})"
"frozenset({'Q7LBC6', 'Leptin', 'P00568'})"
"frozenset({'P35626', 'Leptin', 'Q8NH02'})"
"frozenset({'Leptin', 'Q9UKJ1', 'Q9BX66'})"
"frozenset({'Leptin', 'Q9Y4X5', 'Q13617'})"
"frozenset({'Leptin', 'Q9UM73', 'O00329'})"
"frozenset({'Q5TC82', 'Leptin', 'P25705'})"
"frozenset({'Leptin', 'Q8NBX0', 'O43149'})"
"frozenset({'Leptin', 'Q9H0U3', 'Q9Y277'})"
"frozenset({'Leptin', 'P01106', 'P51532'})"
"frozenset({'Leptin', 'Q13573', 'Q9UBG7'})"
"frozenset({'Leptin', 'Q9BS26', 'Q96RS6'})"
"frozenset({'P32455', 'Leptin', 'P55786'})"
"frozenset({'Leptin', 'P43627', 'P30443'})"
"frozenset({'Q14164', 'Q9HBG4', 'Leptin'})"
"frozenset({'Q16740', 'Leptin', 'O75390'})"
"frozenset({'Q92783', 'Leptin', 'O95218'})"
"frozenset({'Leptin', 'P09874', 'Q14790'})"
"frozenset({'Leptin', 'P43250', 'Q9Y2W7'})"
"frozenset({'Leptin', 'Q504Q3', 'P06454'})"
"frozenset({'Q9BT25', 'Q8NA72', 'Leptin'})"
"frozenset({'Leptin', 'P02751', 'P20700'})"
"frozenset({'Leptin', 'Q9C0B0', 'P84077'})"
"frozenset({'Leptin', 'Q8TBK6', 'Q96MF2'})"
"frozenset({'Leptin', 'P22234', 'P24941'})"
"frozenset({'Q14671', 'Leptin', 'P31946'})"
"frozenset({'Q9Y2R0', 'Leptin', 'Q9C002'})"
"frozenset({'Leptin', 'O43639', 'O75031'})"
