negatives
"frozenset({'Q9BPW8', 'TSH', 'P41220'})"
"frozenset({'TSH', 'Q13077', 'Q13158'})"
"frozenset({'TSH', 'O00560', 'Q9UKJ5'})"
"frozenset({'TSH', 'Q8NDL9', 'P01106'})"
"frozenset({'TSH', 'Q9BY27', 'Q9UJV3'})"
"frozenset({'TSH', 'P47897', 'Q92499'})"
"frozenset({'TSH', 'P69905', 'Q05086'})"
"frozenset({'TSH', 'P38646', 'Q92905'})"
"frozenset({'TSH', 'P36873', 'P24844'})"
"frozenset({'TSH', 'P63096', 'Q00722'})"
"frozenset({'TSH', 'P20810', 'P27986'})"
"frozenset({'TSH', 'Q9H208', 'P32121'})"
"frozenset({'TSH', 'Q96PH1', 'P42224'})"
"frozenset({'TSH', 'P35240', 'Q16698'})"
"frozenset({'TSH', 'Q9H4L4', 'P33992'})"
"frozenset({'P26368', 'P31943', 'TSH'})"
"frozenset({'Q9UHB4', 'TSH', 'Q8N5R6'})"
"frozenset({'TSH', 'P49674', 'Q9H3U1'})"
"frozenset({'P41208', 'Q8IW19', 'TSH'})"
"frozenset({'TSH', 'Q13617', 'O75365'})"
"frozenset({'TSH', 'P62244', 'Q7Z6Z7'})"
"frozenset({'TSH', 'P24941', 'Q14209'})"
"frozenset({'TSH', 'P22314', 'Q96B02'})"
"frozenset({'TSH', 'Q9P0N5', 'Q9H1E5'})"
"frozenset({'TSH', 'P08238', 'Q6P4R8'})"
"frozenset({'TSH', 'Q9BQ83', 'P05109'})"
"frozenset({'TSH', 'Q9Y4K3', 'P68104'})"
"frozenset({'TSH', 'P08670', 'Q96PV4'})"
"frozenset({'TSH', 'Q96A08', 'Q9UHJ3'})"
"frozenset({'TSH', 'P19338', 'P04150'})"
"frozenset({'TSH', 'P20839', 'P01106'})"
"frozenset({'P48556', 'P49720', 'TSH'})"
"frozenset({'TSH', 'Q14008', 'Q13573'})"
"frozenset({'TSH', 'P52815', 'Q9UQ35'})"
"frozenset({'TSH', 'Q8NFJ9', 'Q3SYG4'})"
"frozenset({'TSH', 'Q92793', 'Q16695'})"
"frozenset({'P51571', 'Q9HC24', 'TSH'})"
"frozenset({'TSH', 'P62491', 'P23368'})"
"frozenset({'Q969P0', 'Q9Y262', 'TSH'})"
"frozenset({'TSH', 'Q9Y6B2', 'Q14257'})"
"frozenset({'TSH', 'Q99879', 'P13612'})"
"frozenset({'TSH', 'Q9BR77', 'O95758'})"
"frozenset({'P35226', 'P21549', 'TSH'})"
"frozenset({'TSH', 'P01570', 'P01589'})"
"frozenset({'TSH', 'Q96DB2', 'Q13123'})"
"frozenset({'TSH', 'P15923', 'O00255'})"
"frozenset({'TSH', 'Q7Z2G1', 'Q96KK5'})"
"frozenset({'TSH', 'P17844', 'P09661'})"
"frozenset({'TSH', 'Q9NY97', 'Q92520'})"
"frozenset({'TSH', 'Q7Z408', 'P00519'})"
"frozenset({'TSH', 'Q96IX9', 'Q9BRK4'})"
"frozenset({'TSH', 'Q99759', 'O14920'})"
"frozenset({'TSH', 'Q16663', 'P49238'})"
"frozenset({'TSH', 'P60953', 'O95714'})"
"frozenset({'TSH', 'P23508', 'Q15008'})"
"frozenset({'TSH', 'P62136', 'Q13618'})"
"frozenset({'TSH', 'P49792', 'P01106'})"
"frozenset({'TSH', 'A6NIH7', 'P11488'})"
"frozenset({'TSH', 'P61163', 'P47755'})"
"frozenset({'TSH', 'O75716', 'Q5JR59'})"
"frozenset({'TSH', 'P23297', 'P04637'})"
"frozenset({'P12109', 'P53708', 'TSH'})"
"frozenset({'TSH', 'Q9UQK1', 'O95278'})"
"frozenset({'TSH', 'P62829', 'Q8N6T7'})"
"frozenset({'TSH', 'P19838', 'Q15517'})"
"frozenset({'TSH', 'Q9H6T3', 'Q6NXR4'})"
"frozenset({'TSH', 'Q8NHQ1', 'Q8IWZ5'})"
"frozenset({'TSH', 'Q9BQG0', 'Q15050'})"
"frozenset({'TSH', 'O94964', 'Q9H0W5'})"
"frozenset({'TSH', 'P05067', 'O60716'})"
"frozenset({'TSH', 'Q13045', 'Q96CM4'})"
"frozenset({'TSH', 'Q9UKT9', 'Q07817'})"
"frozenset({'Q9BXL7', 'O14920', 'TSH'})"
"frozenset({'TSH', 'P42224', 'P55072'})"
"frozenset({'P62875', 'Q9UNH6', 'TSH'})"
"frozenset({'O60911', 'TSH', 'P06400'})"
"frozenset({'TSH', 'Q8IWZ5', 'P14770'})"
"frozenset({'TSH', 'P49682', 'Q15835'})"
"frozenset({'TSH', 'Q13148', 'Q13618'})"
"frozenset({'Q9BV68', 'TSH', 'O95149'})"
"frozenset({'TSH', 'Q9HB07', 'P04792'})"
"frozenset({'TSH', 'Q9NUQ6', 'Q08830'})"
"frozenset({'Q13619', 'P46527', 'TSH'})"
"frozenset({'TSH', 'Q9Y5Q3', 'Q9NPA5'})"
"frozenset({'TSH', 'Q15834', 'Q9HB75'})"
"frozenset({'O15504', 'P49792', 'TSH'})"
"frozenset({'TSH', 'Q8TAT6', 'Q9P2P5'})"
"frozenset({'P49721', 'O00487', 'TSH'})"
"frozenset({'P42771', 'Q9UBU9', 'TSH'})"
"frozenset({'TSH', 'P56134', 'P61106'})"
"frozenset({'TSH', 'O43765', 'Q9Y680'})"
"frozenset({'TSH', 'Q96HZ7', 'Q16633'})"
"frozenset({'P45880', 'P13073', 'TSH'})"
"frozenset({'TSH', 'Q96PN8', 'P08238'})"
"frozenset({'TSH', 'Q15365', 'P29692'})"
"frozenset({'TSH', 'Q9H488', 'O00548'})"
"frozenset({'TSH', 'Q9H1J1', 'Q8IYD1'})"
"frozenset({'TSH', 'P16520', 'P45984'})"
"frozenset({'TSH', 'O43852', 'P59998'})"
"frozenset({'TSH', 'Q99650', 'P01579'})"
"frozenset({'Q567U6', 'Q96BD5', 'TSH'})"
"frozenset({'Q13489', 'Q05195', 'TSH'})"
"frozenset({'TSH', 'Q9UHG3', 'P01848'})"
"frozenset({'TSH', 'Q15147', 'Q9UK08'})"
"frozenset({'TSH', 'Q07864', 'O76071'})"
"frozenset({'TSH', 'P48681', 'O43567'})"
"frozenset({'TSH', 'P15586', 'P16333'})"
"frozenset({'P30044', 'Q6PGN9', 'TSH'})"
"frozenset({'TSH', 'Q9H2G2', 'Q9UJV9'})"
"frozenset({'Q15014', 'Q5H9J7', 'TSH'})"
"frozenset({'Q9Y265', 'Q9NRD1', 'TSH'})"
"frozenset({'TSH', 'Q9NZT1', 'P17040'})"
"frozenset({'Q9BZL3', 'Q96F15', 'TSH'})"
"frozenset({'TSH', 'P17612', 'P20265'})"
"frozenset({'TSH', 'P13284', 'O43663'})"
"frozenset({'Q07617', 'Q8N5I9', 'TSH'})"
"frozenset({'P13385', 'Q96E35', 'TSH'})"
"frozenset({'TSH', 'O43542', 'P50990'})"
"frozenset({'TSH', 'Q9UBU9', 'O75874'})"
"frozenset({'Q8TBZ8', 'Q13077', 'TSH'})"
"frozenset({'TSH', 'Q8IWB6', 'Q13127'})"
"frozenset({'TSH', 'Q13617', 'P08621'})"
"frozenset({'P04908', 'P33778', 'TSH'})"
"frozenset({'TSH', 'Q8TEB1', 'Q5TAQ9'})"
"frozenset({'TSH', 'O94906', 'Q53GS9'})"
"frozenset({'P57088', 'P01106', 'TSH'})"
"frozenset({'TSH', 'P42685', 'P07900'})"
"frozenset({'TSH', 'Q6PF06', 'Q9BYN8'})"
"frozenset({'O75116', 'Q15717', 'TSH'})"
"frozenset({'TSH', 'P82650', 'Q02878'})"
"frozenset({'TSH', 'P37173', 'P42338'})"
"frozenset({'TSH', 'Q8NA61', 'Q9UGJ1'})"
"frozenset({'TSH', 'P17542', 'P25800'})"
"frozenset({'TSH', 'Q6EEV6', 'Q13126'})"
"frozenset({'TSH', 'P60842', 'P24941'})"
"frozenset({'TSH', 'P49736', 'O75369'})"
"frozenset({'TSH', 'P29692', 'Q9UKB3'})"
"frozenset({'TSH', 'P49759', 'O95817'})"
"frozenset({'TSH', 'Q6UWE0', 'P35520'})"
"frozenset({'TSH', 'Q13618', 'Q86VS8'})"
"frozenset({'O76041', 'P47897', 'TSH'})"
"frozenset({'TSH', 'P62495', 'O96019'})"
"frozenset({'TSH', 'P38646', 'O14920'})"
"frozenset({'TSH', 'Q9HAU0', 'P61244'})"
"frozenset({'TSH', 'P49761', 'P17509'})"
"frozenset({'P40426', 'TSH', 'Q15041'})"
"frozenset({'TSH', 'P08670', 'Q96GD4'})"
"frozenset({'TSH', 'Q3SYB3', 'P07900'})"
"frozenset({'TSH', 'Q13618', 'P47974'})"
"frozenset({'TSH', 'Q9H9S0', 'Q9HCS4'})"
