negatives
"frozenset({'Q9UKB1', 'Q14671', 'Wnt'})"
"frozenset({'P35611', 'Wnt', 'Q27J81'})"
"frozenset({'Q13330', 'Wnt', 'O60315'})"
"frozenset({'Wnt', 'P49368', 'Q9BXA6'})"
"frozenset({'Wnt', 'Q05086', 'P03372'})"
"frozenset({'A6NGB9', 'Q6XZF7', 'Wnt'})"
"frozenset({'Wnt', 'O14979', 'Q13151'})"
"frozenset({'O15131', 'Wnt', 'P46527'})"
"frozenset({'Wnt', 'Q9H257', 'P50222'})"
"frozenset({'P61927', 'Wnt', 'P63173'})"
"frozenset({'P02462', 'Wnt', 'Q13620'})"
"frozenset({'P31785', 'P60568', 'Wnt'})"
"frozenset({'Q96RU2', 'Wnt', 'O14578'})"
"frozenset({'Wnt', 'Q15653', 'Q16342'})"
"frozenset({'Q8N2W9', 'P49759', 'Wnt'})"
"frozenset({'P08047', 'Q14527', 'Wnt'})"
"frozenset({'Q07890', 'Wnt', 'P04049'})"
"frozenset({'Wnt', 'A5YKK6', 'Q9Y297'})"
"frozenset({'Q12933', 'P62979', 'Wnt'})"
"frozenset({'P29016', 'Wnt', 'Q13443'})"
"frozenset({'Wnt', 'O95257', 'Q8IZ69'})"
"frozenset({'P00533', 'Wnt', 'Q96PU5'})"
"frozenset({'Q8IZU0', 'Wnt', 'Q9NPH0'})"
"frozenset({'Wnt', 'O94888', 'Q13315'})"
"frozenset({'Wnt', 'Q13573', 'Q14966'})"
"frozenset({'Q15796', 'O15105', 'Wnt'})"
"frozenset({'P39023', 'P39019', 'Wnt'})"
"frozenset({'Wnt', 'Q15554', 'O95757'})"
"frozenset({'Q9UN37', 'Q9NP79', 'Wnt'})"
"frozenset({'Q8NEB9', 'Q96F24', 'Wnt'})"
"frozenset({'Q15717', 'Wnt', 'Q969S2'})"
"frozenset({'Wnt', 'P08865', 'P62280'})"
"frozenset({'Wnt', 'P35568', 'Q07666'})"
"frozenset({'P05386', 'Wnt', 'P62424'})"
"frozenset({'Q9NYG5', 'Wnt', 'O43684'})"
"frozenset({'Q9NYF3', 'Wnt', 'Q5TCX8'})"
"frozenset({'P55157', 'Q86UR5', 'Wnt'})"
"frozenset({'P36507', 'Wnt', 'P04049'})"
"frozenset({'Wnt', 'Q9NWV8', 'Q9UBU9'})"
"frozenset({'Wnt', 'P04629', 'Q13263'})"
"frozenset({'P13236', 'Wnt', 'O00574'})"
"frozenset({'Wnt', 'P12270', 'Q9NRC8'})"
"frozenset({'P08243', 'P18848', 'Wnt'})"
"frozenset({'Wnt', 'P10606', 'Q9UBB9'})"
"frozenset({'P62979', 'Wnt', 'P46531'})"
"frozenset({'Q03164', 'Wnt', 'P52732'})"
"frozenset({'Wnt', 'P12755', 'P17844'})"
"frozenset({'P30518', 'Wnt', 'Q8NCT1'})"
