negatives
"frozenset({'O75581', 'Q9UBP4', 'IL3'})"
"frozenset({'P08133', 'Q13126', 'IL3'})"
"frozenset({'Q9Y2Q3', 'IL3', 'P21796'})"
"frozenset({'O75533', 'Q9UIG0', 'IL3'})"
"frozenset({'Q9H444', 'P19525', 'IL3'})"
"frozenset({'Q96I25', 'Q13618', 'IL3'})"
"frozenset({'O14508', 'P38484', 'IL3'})"
"frozenset({'Q8NH56', 'IL3', 'P17612'})"
"frozenset({'O43166', 'Q5TCX8', 'IL3'})"
"frozenset({'Q9H4B6', 'Q13618', 'IL3'})"
"frozenset({'Q15843', 'IL3', 'P62277'})"
"frozenset({'P62851', 'IL3', 'P18124'})"
"frozenset({'Q9Y618', 'P41182', 'IL3'})"
"frozenset({'P62913', 'IL3', 'P62888'})"
"frozenset({'IL3', 'Q13277', 'P98174'})"
"frozenset({'Q8N9F8', 'P84103', 'IL3'})"
"frozenset({'IL3', 'Q3ZCQ8', 'Q13077'})"
"frozenset({'Q92542', 'Q9UJA5', 'IL3'})"
"frozenset({'Q05516', 'Q9BXR0', 'IL3'})"
"frozenset({'P55072', 'O43399', 'IL3'})"
"frozenset({'P52943', 'IL3', 'Q13118'})"
"frozenset({'P07910', 'Q15050', 'IL3'})"
"frozenset({'Q00534', 'P24864', 'IL3'})"
"frozenset({'P63096', 'IL3', 'Q99758'})"
"frozenset({'P00533', 'P55075', 'IL3'})"
"frozenset({'Q04941', 'Q12906', 'IL3'})"
"frozenset({'IL3', 'P60370', 'Q13895'})"
"frozenset({'Q9UQM7', 'P46527', 'IL3'})"
"frozenset({'IL3', 'Q49AN0', 'Q05639'})"
"frozenset({'Q96JC9', 'IL3', 'P26367'})"
"frozenset({'P04843', 'IL3', 'P08865'})"
"frozenset({'Q16620', 'IL3', 'P10586'})"
"frozenset({'IL3', 'Q14232', 'O94973'})"
"frozenset({'P43631', 'IL3', 'Q8N109'})"
"frozenset({'Q9Y5V3', 'Q9H9S0', 'IL3'})"
"frozenset({'P50549', 'IL3', 'P49137'})"
"frozenset({'P18669', 'IL3', 'P09972'})"
"frozenset({'Q9BRK4', 'IL3', 'Q9H6L4'})"
"frozenset({'P14635', 'IL3', 'O75665'})"
"frozenset({'Q8IU57', 'Q9P0W0', 'IL3'})"
"frozenset({'Q7Z6J9', 'IL3', 'Q15323'})"
"frozenset({'IL3', 'Q969G3', 'P04637'})"
"frozenset({'Q9BQE3', 'IL3', 'Q13885'})"
"frozenset({'Q96NC0', 'Q9NQ86', 'IL3'})"
"frozenset({'Q16527', 'P14373', 'IL3'})"
"frozenset({'O43296', 'Q8NHQ1', 'IL3'})"
"frozenset({'Q86VP6', 'IL3', 'O75340'})"
"frozenset({'O00483', 'IL3', 'Q16659'})"
"frozenset({'O95166', 'IL3', 'Q8WVZ9'})"
"frozenset({'O00267', 'IL3', 'Q96ST2'})"
"frozenset({'IL3', 'Q9NU22', 'Q9NRC8'})"
"frozenset({'P57078', 'IL3', 'O95831'})"
"frozenset({'P34925', 'IL3', 'Q3KPI0'})"
"frozenset({'IL3', 'Q06609', 'Q9H2H0'})"
"frozenset({'Q96IW7', 'Q86VR2', 'IL3'})"
"frozenset({'O75182', 'Q00987', 'IL3'})"
"frozenset({'Q92558', 'IL3', 'Q05209'})"
"frozenset({'Q9UQC2', 'IL3', 'P43403'})"
"frozenset({'P11172', 'P04075', 'IL3'})"
"frozenset({'Q5T6S3', 'Q96JN0', 'IL3'})"
"frozenset({'Q9UMR3', 'IL3', 'P53004'})"
"frozenset({'Q9C0C2', 'P49736', 'IL3'})"
"frozenset({'P06241', 'P52757', 'IL3'})"
"frozenset({'IL3', 'Q9NRQ2', 'O95967'})"
"frozenset({'P05412', 'IL3', 'Q12906'})"
"frozenset({'IL3', 'Q15154', 'Q9UQB8'})"
"frozenset({'Q9UGI0', 'IL3', 'Q9BT49'})"
"frozenset({'Q14344', 'P53041', 'IL3'})"
"frozenset({'Q6IPM2', 'IL3', 'P01106'})"
"frozenset({'IL3', 'Q96KG7', 'Q8TCU4'})"
"frozenset({'IL3', 'P35749', 'P21333'})"
"frozenset({'O15294', 'P25942', 'IL3'})"
"frozenset({'Q8NE71', 'P05412', 'IL3'})"
"frozenset({'P22301', 'IL3', 'P51617'})"
"frozenset({'Q15262', 'IL3', 'O15230'})"
"frozenset({'Q15637', 'IL3', 'Q15788'})"
"frozenset({'IL3', 'Q14839', 'Q8N6T7'})"
"frozenset({'P04439', 'IL3', 'P78334'})"
"frozenset({'P23025', 'IL3', 'Q9HCN4'})"
"frozenset({'Q14847', 'IL3', 'O94989'})"
"frozenset({'P82664', 'IL3', 'P62913'})"
"frozenset({'IL3', 'Q96PZ0', 'Q9UDY2'})"
"frozenset({'P53708', 'IL3', 'A8TX70'})"
"frozenset({'P35869', 'IL3', 'P51398'})"
"frozenset({'P43307', 'IL3', 'P00403'})"
"frozenset({'IL3', 'Q9NRC8', 'Q06210'})"
"frozenset({'P11233', 'Q3MIN7', 'IL3'})"
"frozenset({'Q05513', 'IL3', 'O14920'})"
"frozenset({'P61981', 'P07437', 'IL3'})"
"frozenset({'P27986', 'P15153', 'IL3'})"
"frozenset({'P23381', 'IL3', 'Q99816'})"
"frozenset({'P12931', 'Q9BX66', 'IL3'})"
"frozenset({'Q92542', 'IL3', 'P15313'})"
"frozenset({'Q12824', 'IL3', 'P0DP23'})"
"frozenset({'O96014', 'Q9UP38', 'IL3'})"
"frozenset({'P46776', 'P62910', 'IL3'})"
"frozenset({'O00423', 'IL3', 'Q13509'})"
