negatives
"frozenset({'Q9Y624', 'TNFalpha', 'P12830'})"
"frozenset({'Q9Y6Y8', 'TNFalpha', 'Q9NVG8'})"
"frozenset({'O60260', 'TNFalpha', 'Q9Y3I1'})"
"frozenset({'P25098', 'Q8NGC1', 'TNFalpha'})"
"frozenset({'O00422', 'Q9Y2J2', 'TNFalpha'})"
"frozenset({'P49720', 'TNFalpha', 'P28070'})"
"frozenset({'Q9UKV3', 'TNFalpha', 'P34947'})"
"frozenset({'TNFalpha', 'P34932', 'P21127'})"
"frozenset({'P36897', 'TNFalpha', 'Q15796'})"
"frozenset({'Q96DX4', 'Q6ZMR5', 'TNFalpha'})"
"frozenset({'Q2WGJ6', 'TNFalpha', 'Q13064'})"
"frozenset({'TNFalpha', 'Q562E7', 'P04629'})"
"frozenset({'TNFalpha', 'P53621', 'O15259'})"
"frozenset({'Q15797', 'P68366', 'TNFalpha'})"
"frozenset({'Q96RD0', 'TNFalpha', 'Q9P2W3'})"
"frozenset({'Q08117', 'Q13895', 'TNFalpha'})"
"frozenset({'TNFalpha', 'O95801', 'Q5TDH0'})"
"frozenset({'TNFalpha', 'Q8WUA4', 'O95433'})"
"frozenset({'P10074', 'Q9NWQ4', 'TNFalpha'})"
"frozenset({'A6NHQ4', 'O75530', 'TNFalpha'})"
"frozenset({'TNFalpha', 'P54725', 'P23381'})"
"frozenset({'P24539', 'Q99798', 'TNFalpha'})"
"frozenset({'P51668', 'Q86YT6', 'TNFalpha'})"
"frozenset({'Q9HCM7', 'TNFalpha', 'P68400'})"
"frozenset({'TNFalpha', 'Q06587', 'Q93009'})"
"frozenset({'O94913', 'TNFalpha', 'Q92989'})"
"frozenset({'Q12979', 'TNFalpha', 'O95714'})"
"frozenset({'Q9C0B0', 'TNFalpha', 'P20339'})"
"frozenset({'P01242', 'P16234', 'TNFalpha'})"
"frozenset({'Q9C0B0', 'Q9Y287', 'TNFalpha'})"
"frozenset({'Q13469', 'P43694', 'TNFalpha'})"
"frozenset({'P05783', 'TNFalpha', 'Q9NUX5'})"
"frozenset({'TNFalpha', 'P22612', 'O43678'})"
"frozenset({'P51825', 'P12883', 'TNFalpha'})"
"frozenset({'P41743', 'Q9NRA0', 'TNFalpha'})"
"frozenset({'P29350', 'TNFalpha', 'O60716'})"
"frozenset({'P05067', 'O43602', 'TNFalpha'})"
"frozenset({'Q5C9Z4', 'P62917', 'TNFalpha'})"
"frozenset({'P01106', 'TNFalpha', 'P51531'})"
"frozenset({'P54253', 'Q8N8B7', 'TNFalpha'})"
"frozenset({'P31948', 'TNFalpha', 'P35241'})"
"frozenset({'P62714', 'Q9NVK5', 'TNFalpha'})"
"frozenset({'Q9BYR9', 'Q8WZ59', 'TNFalpha'})"
"frozenset({'Q9NQX4', 'Q16643', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q9Y265', 'Q6AWC2'})"
"frozenset({'TNFalpha', 'O14836', 'O43765'})"
"frozenset({'Q9UHA2', 'TNFalpha', 'Q9NZ71'})"
"frozenset({'TNFalpha', 'Q7Z6K5', 'Q96D03'})"
"frozenset({'P55735', 'TNFalpha', 'P35637'})"
"frozenset({'P28482', 'P35548', 'TNFalpha'})"
"frozenset({'Q9BQB6', 'Q01628', 'TNFalpha'})"
"frozenset({'P63261', 'Q12933', 'TNFalpha'})"
"frozenset({'P18621', 'TNFalpha', 'P63220'})"
"frozenset({'Q9HCE1', 'TNFalpha', 'P25705'})"
"frozenset({'P45983', 'O95382', 'TNFalpha'})"
"frozenset({'P35626', 'Q8NGC9', 'TNFalpha'})"
"frozenset({'P62256', 'TNFalpha', 'Q6VVB1'})"
"frozenset({'P03372', 'P27348', 'TNFalpha'})"
"frozenset({'TNFalpha', 'O75896', 'Q5TD97'})"
"frozenset({'Q13618', 'O00459', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q9HB71', 'Q9Y2Z0'})"
"frozenset({'P17612', 'TNFalpha', 'Q9Y5P1'})"
"frozenset({'P12236', 'Q9UBX2', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q69YQ0', 'P46940'})"
"frozenset({'TNFalpha', 'P60520', 'Q92499'})"
"frozenset({'Q9Y2H9', 'TNFalpha', 'O60502'})"
"frozenset({'P35226', 'TNFalpha', 'P04637'})"
"frozenset({'Q9BWX1', 'TNFalpha', 'Q969K3'})"
"frozenset({'Q969Q6', 'O14920', 'TNFalpha'})"
"frozenset({'O43866', 'O75364', 'TNFalpha'})"
"frozenset({'P16104', 'Q96Q83', 'TNFalpha'})"
"frozenset({'P22681', 'O00159', 'TNFalpha'})"
"frozenset({'Q8TEX9', 'O60506', 'TNFalpha'})"
"frozenset({'O60832', 'Q9UGY1', 'TNFalpha'})"
"frozenset({'P08670', 'Q5S007', 'TNFalpha'})"
"frozenset({'Q5JR59', 'Q9GZM8', 'TNFalpha'})"
"frozenset({'Q9NP62', 'TNFalpha', 'Q9UKT8'})"
"frozenset({'Q6IEV9', 'TNFalpha', 'P62873'})"
"frozenset({'O75340', 'TNFalpha', 'P53367'})"
"frozenset({'Q7KZI7', 'P52907', 'TNFalpha'})"
"frozenset({'Q9H6R4', 'Q99848', 'TNFalpha'})"
"frozenset({'P32121', 'Q07020', 'TNFalpha'})"
"frozenset({'P14373', 'TNFalpha', 'Q99633'})"
"frozenset({'TNFalpha', 'Q96BA8', 'Q92520'})"
"frozenset({'O43463', 'Q96GN5', 'TNFalpha'})"
"frozenset({'Q9BYQ6', 'TNFalpha', 'Q6UY14'})"
"frozenset({'TNFalpha', 'Q9BVG8', 'Q9UIA0'})"
"frozenset({'Q9BQ66', 'Q5T5A8', 'TNFalpha'})"
"frozenset({'Q9GZQ8', 'P41252', 'TNFalpha'})"
"frozenset({'Q96PM5', 'TNFalpha', 'P13498'})"
"frozenset({'Q9UM11', 'Q96FV0', 'TNFalpha'})"
"frozenset({'P06400', 'TNFalpha', 'Q5TKA1'})"
"frozenset({'TNFalpha', 'Q14103', 'Q9H074'})"
"frozenset({'TNFalpha', 'P40145', 'O95467'})"
"frozenset({'Q9Y297', 'TNFalpha', 'P62837'})"
"frozenset({'Q92769', 'P43694', 'TNFalpha'})"
"frozenset({'Q13501', 'TNFalpha', 'Q9P035'})"
"frozenset({'Q02952', 'TNFalpha', 'P04637'})"
"frozenset({'TNFalpha', 'Q9BWW8', 'P49286'})"
"frozenset({'P35527', 'Q93034', 'TNFalpha'})"
"frozenset({'P10074', 'TNFalpha', 'Q9HAU5'})"
"frozenset({'TNFalpha', 'P04843', 'Q13438'})"
"frozenset({'TNFalpha', 'P15880', 'P46087'})"
"frozenset({'Q9Y376', 'TNFalpha', 'O75874'})"
"frozenset({'Q9NZZ3', 'P05161', 'TNFalpha'})"
"frozenset({'P04628', 'P51654', 'TNFalpha'})"
"frozenset({'P58340', 'P46821', 'TNFalpha'})"
"frozenset({'Q00839', 'TNFalpha', 'Q9NY61'})"
"frozenset({'TNFalpha', 'Q9Y4R8', 'Q9H6T3'})"
"frozenset({'P02649', 'Q92743', 'TNFalpha'})"
"frozenset({'TNFalpha', 'P33947', 'O15259'})"
"frozenset({'Q8N163', 'TNFalpha', 'Q15428'})"
"frozenset({'P49770', 'P19784', 'TNFalpha'})"
"frozenset({'Q6NUK1', 'P08174', 'TNFalpha'})"
"frozenset({'TNFalpha', 'O94762', 'P24928'})"
