negatives
"frozenset({'P61960', 'Q96EK5', 'IL4'})"
"frozenset({'P27701', 'P05556', 'IL4'})"
"frozenset({'Q9UGN5', 'IL4', 'P15927'})"
"frozenset({'Q08379', 'IL4', 'O15400'})"
"frozenset({'Q96C24', 'Q9H4L5', 'IL4'})"
"frozenset({'Q13616', 'Q9UNX3', 'IL4'})"
"frozenset({'P01570', 'IL4', 'P16871'})"
"frozenset({'Q6P2C8', 'Q9NWA0', 'IL4'})"
"frozenset({'P84022', 'P35573', 'IL4'})"
"frozenset({'Q86YR7', 'P16220', 'IL4'})"
"frozenset({'Q96GM5', 'O96019', 'IL4'})"
"frozenset({'P86479', 'Q02446', 'IL4'})"
"frozenset({'IL4', 'O94762', 'Q9UQF2'})"
"frozenset({'P29459', 'P42224', 'IL4'})"
"frozenset({'P62945', 'Q02878', 'IL4'})"
"frozenset({'Q15363', 'IL4', 'Q969X5'})"
"frozenset({'Q96HA8', 'IL4', 'P49910'})"
"frozenset({'IL4', 'P23246', 'P60520'})"
"frozenset({'Q86V81', 'P52756', 'IL4'})"
"frozenset({'Q9NTZ6', 'P55263', 'IL4'})"
"frozenset({'Q9UPQ3', 'Q9Y597', 'IL4'})"
"frozenset({'Q5JTV8', 'IL4', 'P00533'})"
"frozenset({'O95361', 'P54274', 'IL4'})"
"frozenset({'Q8N3K9', 'P43686', 'IL4'})"
"frozenset({'Q9H8H0', 'Q14999', 'IL4'})"
"frozenset({'Q9UM01', 'P08195', 'IL4'})"
"frozenset({'O43166', 'P33993', 'IL4'})"
"frozenset({'Q9UBB9', 'P62310', 'IL4'})"
"frozenset({'Q96C92', 'Q7Z7A1', 'IL4'})"
"frozenset({'Q8NG94', 'O60262', 'IL4'})"
"frozenset({'Q13043', 'O95373', 'IL4'})"
"frozenset({'Q92922', 'IL4', 'P10275'})"
"frozenset({'O43677', 'P17612', 'IL4'})"
"frozenset({'Q5TC82', 'Q96CT7', 'IL4'})"
"frozenset({'Q14164', 'IL4', 'P14550'})"
"frozenset({'Q8WWQ0', 'Q16666', 'IL4'})"
"frozenset({'Q96B23', 'IL4', 'P58304'})"
"frozenset({'O95793', 'IL4', 'Q12834'})"
"frozenset({'O14976', 'Q9UK73', 'IL4'})"
"frozenset({'Q9BQS8', 'Q13315', 'IL4'})"
"frozenset({'IL4', 'Q9UIM3', 'P19086'})"
"frozenset({'P26640', 'O00358', 'IL4'})"
"frozenset({'Q9UK08', 'P08172', 'IL4'})"
"frozenset({'Q99689', 'Q9BRH9', 'IL4'})"
"frozenset({'P22694', 'Q07699', 'IL4'})"
"frozenset({'Q16540', 'IL4', 'P60866'})"
"frozenset({'P46092', 'IL4', 'P63096'})"
"frozenset({'O75386', 'Q15327', 'IL4'})"
"frozenset({'Q8WUZ0', 'IL4', 'O95758'})"
"frozenset({'Q13255', 'Q9UQM7', 'IL4'})"
"frozenset({'Q9NR12', 'O95782', 'IL4'})"
"frozenset({'P21580', 'O43187', 'IL4'})"
"frozenset({'O15182', 'Q70CQ1', 'IL4'})"
"frozenset({'P00540', 'IL4', 'Q9P2P5'})"
"frozenset({'P02741', 'P02751', 'IL4'})"
"frozenset({'P63208', 'P54274', 'IL4'})"
"frozenset({'Q13227', 'O43482', 'IL4'})"
"frozenset({'O75478', 'IL4', 'Q8NEM0'})"
"frozenset({'IL4', 'Q9H0C1', 'Q92748'})"
