negatives
"frozenset({'O14807', 'EGFR1', 'Q9P2W3'})"
"frozenset({'Q96A37', 'EGFR1', 'Q12756'})"
"frozenset({'A0AVT1', 'EGFR1', 'Q9UHY7'})"
"frozenset({'P00519', 'Q70E73', 'EGFR1'})"
"frozenset({'Q86UE8', 'EGFR1', 'Q92985'})"
"frozenset({'Q8IWV1', 'EGFR1', 'P27986'})"
"frozenset({'Q9Y3I0', 'Q9UKG1', 'EGFR1'})"
"frozenset({'Q12800', 'P63279', 'EGFR1'})"
"frozenset({'O15111', 'EGFR1', 'P42345'})"
"frozenset({'P23588', 'EGFR1', 'P63104'})"
"frozenset({'P62306', 'EGFR1', 'P09661'})"
"frozenset({'P02458', 'Q04206', 'EGFR1'})"
"frozenset({'P16471', 'EGFR1', 'O14543'})"
"frozenset({'Q9UQL6', 'P06400', 'EGFR1'})"
"frozenset({'EGFR1', 'Q9H3U1', 'P50222'})"
"frozenset({'Q53EL6', 'P62987', 'EGFR1'})"
"frozenset({'Q12952', 'EGFR1', 'Q8WUM0'})"
"frozenset({'P17987', 'EGFR1', 'P29597'})"
"frozenset({'Q9BV73', 'Q3V6T2', 'EGFR1'})"
"frozenset({'P01106', 'EGFR1', 'Q9HAV7'})"
"frozenset({'O15455', 'EGFR1', 'P84022'})"
"frozenset({'Q9Y5Z0', 'P05067', 'EGFR1'})"
"frozenset({'Q8IVT5', 'O14980', 'EGFR1'})"
"frozenset({'O15297', 'EGFR1', 'O15264'})"
"frozenset({'O14735', 'O00560', 'EGFR1'})"
"frozenset({'P07203', 'EGFR1', 'Q6ZU80'})"
"frozenset({'P42166', 'Q9H040', 'EGFR1'})"
"frozenset({'P11362', 'P35568', 'EGFR1'})"
"frozenset({'Q5S007', 'EGFR1', 'P49207'})"
"frozenset({'P56537', 'EGFR1', 'Q9NWY4'})"
"frozenset({'P38405', 'Q8NG92', 'EGFR1'})"
"frozenset({'P06241', 'P35968', 'EGFR1'})"
"frozenset({'O15111', 'EGFR1', 'Q92585'})"
"frozenset({'Q3MHD2', 'EGFR1', 'Q9NPJ6'})"
"frozenset({'P13501', 'Q6P2E9', 'EGFR1'})"
"frozenset({'Q15051', 'Q15717', 'EGFR1'})"
"frozenset({'Q06609', 'EGFR1', 'P07900'})"
"frozenset({'P18564', 'P49746', 'EGFR1'})"
"frozenset({'P62701', 'EGFR1', 'P02751'})"
"frozenset({'P98175', 'EGFR1', 'Q75N03'})"
"frozenset({'P27635', 'EGFR1', 'P61326'})"
"frozenset({'EGFR1', 'Q7L0J3', 'Q16363'})"
"frozenset({'Q13616', 'P55036', 'EGFR1'})"
"frozenset({'O95831', 'O95793', 'EGFR1'})"
"frozenset({'P05067', 'EGFR1', 'Q9UGM6'})"
"frozenset({'Q96NY8', 'EGFR1', 'P12830'})"
"frozenset({'P42356', 'EGFR1', 'Q9NPJ6'})"
"frozenset({'Q8NHQ1', 'Q9H5I1', 'EGFR1'})"
"frozenset({'Q07352', 'P35680', 'EGFR1'})"
"frozenset({'Q13185', 'EGFR1', 'Q6P1K2'})"
"frozenset({'Q02363', 'EGFR1', 'Q14511'})"
"frozenset({'Q9H172', 'EGFR1', 'Q96EQ0'})"
"frozenset({'Q99836', 'EGFR1', 'Q9UGK3'})"
"frozenset({'Q99496', 'P84243', 'EGFR1'})"
"frozenset({'Q969V5', 'O00429', 'EGFR1'})"
"frozenset({'O43504', 'EGFR1', 'Q9H8V3'})"
"frozenset({'P61981', 'EGFR1', 'A2RU30'})"
"frozenset({'P30307', 'EGFR1', 'P24941'})"
"frozenset({'EGFR1', 'Q96SQ5', 'Q9BUH8'})"
"frozenset({'Q9P0L0', 'EGFR1', 'Q00169'})"
"frozenset({'O95166', 'P62979', 'EGFR1'})"
"frozenset({'P49336', 'EGFR1', 'Q58FG0'})"
"frozenset({'O75436', 'EGFR1', 'Q9BXJ9'})"
"frozenset({'P32121', 'EGFR1', 'Q9NQN1'})"
"frozenset({'P49716', 'EGFR1', 'Q9UBT7'})"
"frozenset({'P19784', 'Q9H063', 'EGFR1'})"
"frozenset({'EGFR1', 'P05412', 'P17612'})"
"frozenset({'Q8IY92', 'EGFR1', 'Q9GZU8'})"
"frozenset({'P29590', 'EGFR1', 'Q92547'})"
"frozenset({'EGFR1', 'Q9NQC3', 'Q14088'})"
"frozenset({'EGFR1', 'P18146', 'Q16772'})"
"frozenset({'Q9UDY4', 'EGFR1', 'Q86U42'})"
"frozenset({'Q9HC35', 'EGFR1', 'P27986'})"
"frozenset({'Q99490', 'Q13255', 'EGFR1'})"
"frozenset({'Q9Y3T9', 'Q8NI36', 'EGFR1'})"
"frozenset({'Q15287', 'Q99873', 'EGFR1'})"
"frozenset({'Q6A162', 'EGFR1', 'Q8TD31'})"
"frozenset({'P25788', 'P55036', 'EGFR1'})"
"frozenset({'O60341', 'Q7Z6G3', 'EGFR1'})"
