#tail	head	weight	pathway_name	pathway_ID	edge_type	tail_symbol	head_symbol
Q8IZP0	P22681	1	EGFR1	4	physical	ABI1	CBL
Q8IZP0	Q12929	1	EGFR1	4	physical	ABI1	EPS8
P62736	P36542	1	EGFR1	4	physical	ACTA2	ATP5C1
P62736	P22681	1	EGFR1	4	physical	ACTA2	CBL
P62736	Q13191	1	EGFR1	4	physical	ACTA2	CBLB
P62736	P01133	1	EGFR1	4	physical	ACTA2	EGF
P62736	P00533	1	EGFR1	4	physical	ACTA2	EGFR
P62736	Q9UJM3	1	EGFR1	4	physical	ACTA2	ERRFI1
P62736	P62993	1	EGFR1	4	physical	ACTA2	GRB2
P62736	P00403	1	EGFR1	4	physical	ACTA2	MT-CO2
P62736	P27986	1	EGFR1	4	physical	ACTA2	PIK3R1
P62736	O00459	1	EGFR1	4	physical	ACTA2	PIK3R2
P62736	P29353	1	EGFR1	4	physical	ACTA2	SHC1
P62736	P62316	1	EGFR1	4	physical	ACTA2	SNRPD2
P62736	Q07889	1	EGFR1	4	physical	ACTA2	SOS1
P62736	Q07890	1	EGFR1	4	physical	ACTA2	SOS2
P62736	P0CG47	1	EGFR1	4	physical	ACTA2	UBB
P62736	P52735	1	EGFR1	4	physical	ACTA2	VAV2
P62736	P63104	1	EGFR1	4	physical	ACTA2	YWHAZ
O43707	P19838	1	EGFR1	4	physical	ACTN4	NFKB1
O43707	Q04206	1	EGFR1	4	physical	ACTN4	RELA
P78536	P10586	1	EGFR1	4	protein_cleavage	ADAM17	PTPRF
P25098	P00533	1	EGFR1	4	physical	ADRBK1	EGFR
P31749	Q6P1N0	1	EGFR1	4	physical	AKT1	CC2D1A
P31749	P00533	1	EGFR1	4	physical	AKT1	EGFR
P31749	Q12778	1	EGFR1	4	Phosphorylation	AKT1	FOXO1
P31749	P98177	1	EGFR1	4	Phosphorylation	AKT1	FOXO4
P31749	O15530	1	EGFR1	4	physical	AKT1	PDPK1
P31749	P04049	1	EGFR1	4	Phosphorylation	AKT1	RAF1
P31749	P42224	1	EGFR1	4	Phosphorylation	AKT1	STAT1
P07355	Q06124	1	EGFR1	4	physical	ANXA2	PTPN11
O95782	P63010	1	EGFR1	4	physical	AP2A1	AP2B1
O95782	P53680	1	EGFR1	4	physical	AP2A1	AP2S1
O95782	Q13191	1	EGFR1	4	physical	AP2A1	CBLB
O95782	P13987	1	EGFR1	4	physical	AP2A1	CD59
O95782	P00533	1	EGFR1	4	physical	AP2A1	EGFR
O95782	Q9Y6I3	1	EGFR1	4	physical	AP2A1	EPN1
O95782	P58107	1	EGFR1	4	physical	AP2A1	EPPK1
O95782	P42566	1	EGFR1	4	physical	AP2A1	EPS15
O95782	P62993	1	EGFR1	4	physical	AP2A1	GRB2
O95782	Q16695	1	EGFR1	4	physical	AP2A1	HIST3H3
O95782	P46940	1	EGFR1	4	physical	AP2A1	IQGAP1
O95782	Q04695	1	EGFR1	4	physical	AP2A1	KRT17
O95782	P05783	1	EGFR1	4	physical	AP2A1	KRT18
O95782	P08729	1	EGFR1	4	physical	AP2A1	KRT7
O95782	P05787	1	EGFR1	4	physical	AP2A1	KRT8
O95782	Q6WCQ1	1	EGFR1	4	physical	AP2A1	MPRIP
O95782	Q15149	1	EGFR1	4	physical	AP2A1	PLEC
O95782	Q06124	1	EGFR1	4	physical	AP2A1	PTPN11
O95782	Q9H0H5	1	EGFR1	4	physical	AP2A1	RACGAP1
O95782	P29353	1	EGFR1	4	physical	AP2A1	SHC1
O95782	Q2TAY7	1	EGFR1	4	physical	AP2A1	SMU1
O95782	P62316	1	EGFR1	4	physical	AP2A1	SNRPD2
O95782	Q07889	1	EGFR1	4	physical	AP2A1	SOS1
O95782	P52735	1	EGFR1	4	physical	AP2A1	VAV2
O95782	Q9UKW4	1	EGFR1	4	physical	AP2A1	VAV3
P63010	O95782	1	EGFR1	4	physical	AP2B1	AP2A1
P63010	P53680	1	EGFR1	4	physical	AP2B1	AP2S1
P63010	Q13191	1	EGFR1	4	physical	AP2B1	CBLB
P63010	P13987	1	EGFR1	4	physical	AP2B1	CD59
P63010	P00533	1	EGFR1	4	physical	AP2B1	EGFR
P63010	P58107	1	EGFR1	4	physical	AP2B1	EPPK1
P63010	P62993	1	EGFR1	4	physical	AP2B1	GRB2
P63010	Q16695	1	EGFR1	4	physical	AP2B1	HIST3H3
P63010	P46940	1	EGFR1	4	physical	AP2B1	IQGAP1
P63010	Q04695	1	EGFR1	4	physical	AP2B1	KRT17
P63010	P05783	1	EGFR1	4	physical	AP2B1	KRT18
P63010	P08729	1	EGFR1	4	physical	AP2B1	KRT7
P63010	P05787	1	EGFR1	4	physical	AP2B1	KRT8
P63010	Q6WCQ1	1	EGFR1	4	physical	AP2B1	MPRIP
P63010	Q15149	1	EGFR1	4	physical	AP2B1	PLEC
P63010	Q06124	1	EGFR1	4	physical	AP2B1	PTPN11
P63010	Q9H0H5	1	EGFR1	4	physical	AP2B1	RACGAP1
P63010	P29353	1	EGFR1	4	physical	AP2B1	SHC1
P63010	Q2TAY7	1	EGFR1	4	physical	AP2B1	SMU1
P63010	P62316	1	EGFR1	4	physical	AP2B1	SNRPD2
P63010	Q07889	1	EGFR1	4	physical	AP2B1	SOS1
P63010	P52735	1	EGFR1	4	physical	AP2B1	VAV2
P63010	Q9UKW4	1	EGFR1	4	physical	AP2B1	VAV3
P53680	O95782	1	EGFR1	4	physical	AP2S1	AP2A1
P53680	P63010	1	EGFR1	4	physical	AP2S1	AP2B1
P53680	Q13191	1	EGFR1	4	physical	AP2S1	CBLB
P53680	P13987	1	EGFR1	4	physical	AP2S1	CD59
P53680	P00533	1	EGFR1	4	physical	AP2S1	EGFR
P53680	P58107	1	EGFR1	4	physical	AP2S1	EPPK1
