NODEID	prize	sources	targets	active
1433Z_HUMAN	1.041379133		True	True
41_HUMAN	3.389112802		True	True
4ET_HUMAN	2.569973509		True	True
A8K1N6_HUMAN	1.948221966		True	True
A9CQZ4_HUMAN	0.421460919		True	True
AAGAB_HUMAN	0.906857382		True	True
ABCF1_HUMAN	1.662535462		True	True
ABI1_HUMAN	2.262002188		True	True
ABI2_HUMAN	6.039545959		True	True
ABLM1_HUMAN	1.851877252		True	True
ACACA_HUMAN	1.413801552		True	True
ACAP2_HUMAN	2.26361378		True	True
ACINU_HUMAN	5.059742801		True	True
ACK1_HUMAN	4.634804389		True	True
ACLY_HUMAN	0.924296287		True	True
ACTB_HUMAN	6.332977709		True	True
ADAT1_HUMAN	0.15086641		True	True
ADCY6_HUMAN	0.213467876		True	True
ADDA_HUMAN	2.023396633		True	True
ADNP_HUMAN	1.863304115		True	True
AFAD_HUMAN	5.746711895		True	True
AFTIN_HUMAN	1.428578311		True	True
AHNK_HUMAN	1.03846887		True	True
AKA10_HUMAN	1.256166574		True	True
AKA11_HUMAN	0.927725859		True	True
AKA12_HUMAN	0.839912266		True	True
AKAP1_HUMAN	1.744860335		True	True
AKAP2_HUMAN	1.596611866		True	True
AMOT_HUMAN	1.79256998		True	True
ANS1A_HUMAN	2.76115098		True	True
ANXA2_HUMAN	1.709856841		True	True
AP3D1_HUMAN	4.077699923		True	True
APC1_HUMAN	0.888837295		True	True
AR6P4_HUMAN	0.701112743		True	True
AR6P6_HUMAN	2.695059469		True	True
ARHG5_HUMAN	7.044363255		True	True
ARHG7_HUMAN	3.809839832		True	True
ARHGB_HUMAN	2.260010614		True	True
ARIP4_HUMAN	0.270475986		True	True
ARMX3_HUMAN	0.11573305		True	True
ARP8_HUMAN	1.094787599		True	True
ASPM_HUMAN	0.369667496		True	True
AT133_HUMAN	1.627668371		True	True
AT1A1_HUMAN	2.904315518		True	True
AT2B1_HUMAN	2.165602139		True	True
ATRX_HUMAN	0.701149125		True	True
ATX2L_HUMAN	4.425369048		True	True
AZI1_HUMAN	1.861521522		True	True
B2L13_HUMAN	1.614443902		True	True
B4DGC6_HUMAN	0.752406932		True	True
B4DM10_HUMAN	0.474391755		True	True
B4DQA8_HUMAN	0.12336285		True	True
B4DQQ2_HUMAN	0.509838368		True	True
B4DSL6_HUMAN	1.401622791		True	True
B4DZC2_HUMAN	0.736249376		True	True
BACH_HUMAN	0.409715682		True	True
BACH2_HUMAN	0.942291628		True	True
BAD_HUMAN	0.390261342		True	True
BAG6_HUMAN	0.406028443		True	True
BAP18_HUMAN	2.420530962		True	True
BARD1_HUMAN	0.113513875		True	True
BAZ1B_HUMAN	0.714778368		True	True
BAZ2A_HUMAN	1.358383434		True	True
BBX_HUMAN	1.196178614		True	True
BCAR1_HUMAN	5.368797237		True	True
BCLF1_HUMAN	3.268307286		True	True
BCS1_HUMAN	1.435079955		True	True
BIG3_HUMAN	0.978095454		True	True
BMS1_HUMAN	1.398231144		True	True
BORG1_HUMAN	0.8309547		True	True
BORG4_HUMAN	0.908661259		True	True
BRAP_HUMAN	0.507219767		True	True
BRD2_HUMAN	1.88956051		True	True
BRD3_HUMAN	0.351886484		True	True
BUD13_HUMAN	1.407446196		True	True
BZW2_HUMAN	0.610443432		True	True
C170B_HUMAN	0.887656818		True	True
C2CD5_HUMAN	0.319586924		True	True
CA052_HUMAN	1.950626165		True	True
CA172_HUMAN	0.676879108		True	True
CAAP1_HUMAN	0.46595922		True	True
CAF1B_HUMAN	0.356408629		True	True
CALM_HUMAN	0.977490284		True	True
CALX_HUMAN	1.062601393		True	True
CAV1_HUMAN	0.258171175		True	True
CBL_HUMAN	8.769147064		True	True
CBLB_HUMAN	7.734379891		True	True
CCD25_HUMAN	2.010322541		True	True
CCD43_HUMAN	1.116038006		True	True
CCD50_HUMAN	3.354177584		True	True
CCD86_HUMAN	0.857141606		True	True
CCD97_HUMAN	0.294338791		True	True
CCDC6_HUMAN	0.152259131		True	True
CCNK_HUMAN	2.334610339		True	True
CCNL2_HUMAN	1.006534651		True	True
CD2AP_HUMAN	1.354067165		True	True
CD2B2_HUMAN	0.678693026		True	True
CDC20_HUMAN	0.355921365		True	True
CDCA3_HUMAN	2.072183324		True	True
CDCA5_HUMAN	0.07382236		True	True
CDK1_HUMAN	5.284915059		True	True
CDK12_HUMAN	1.170814249		True	True
CDK13_HUMAN	1.185727819		True	True
CDK16_HUMAN	0.811435393		True	True
CDK5_HUMAN	4.687685262		True	True
CDKL5_HUMAN	1.429420778		True	True
CDS2_HUMAN	0.178665681		True	True
CDV3_HUMAN	2.77465514		True	True
CEBPZ_HUMAN	1.979375439		True	True
CFDP1_HUMAN	2.743835706		True	True
CG050_HUMAN	0.358271075		True	True
CH10_HUMAN	3.59178713		True	True
CHAP1_HUMAN	0.866076722		True	True
CHD3_HUMAN	0.642111098		True	True
CHD4_HUMAN	2.634889563		True	True
CHIP_HUMAN	0.745987428		True	True
CHM2B_HUMAN	0.269597733		True	True
CI078_HUMAN	0.190066548		True	True
CK052_HUMAN	0.798347313		True	True
CLAP1_HUMAN	3.346476868		True	True
CLASR_HUMAN	0.7666283		True	True
CLSPN_HUMAN	1.291446804		True	True
COF1_HUMAN	0.363525169		True	True
CPSF7_HUMAN	1.220915762		True	True
CRK_HUMAN	6.545276815		True	True
CRKL_HUMAN	8.296206643		True	True
CRTC2_HUMAN	0.342365761		True	True
CSKI2_HUMAN	0.149093366		True	True
CSPP1_HUMAN	1.449349623		True	True
CSTFT_HUMAN	0.78914943		True	True
CTF18_HUMAN	0.122926304		True	True
CTNB1_HUMAN	1.182358691		True	True
CTND1_HUMAN	2.470367915		True	True
CTR9_HUMAN	0.413950406		True	True
CUL4B_HUMAN	1.007958822		True	True
CX023_HUMAN	0.176910408		True	True
CYTSA_HUMAN	5.913323257		True	True
CYTSB_HUMAN	3.608453481		True	True
DBNL_HUMAN	0.570543941		True	True
DC1L1_HUMAN	0.794719394		True	True
DC1L2_HUMAN	0.507681958		True	True
DCAF8_HUMAN	0.35336542		True	True
DDA1_HUMAN	0.872125054		True	True
DDX21_HUMAN	4.016586169		True	True
DDX24_HUMAN	0.312606522		True	True
DDX3X_HUMAN	4.579670309		True	True
DDX3Y_HUMAN	1.733646236		True	True
DDX41_HUMAN	0.439652682		True	True
DDX42_HUMAN	0.855584012		True	True
DDX46_HUMAN	2.012385881		True	True
DDX54_HUMAN	2.605173004		True	True
DDX55_HUMAN	2.28381716		True	True
DEN4B_HUMAN	0.656664862		True	True
DENR_HUMAN	2.704039342		True	True
DEP1B_HUMAN	1.645992476		True	True
