negatives
"frozenset({'Q6NUK4', 'P31947', 'Notch'})"
"frozenset({'Notch', 'Q13748', 'Q12933'})"
"frozenset({'Notch', 'P46063', 'P13010'})"
"frozenset({'Notch', 'Q9UI09', 'O14561'})"
"frozenset({'Notch', 'Q9Y3Q8', 'O75157'})"
"frozenset({'Notch', 'P25098', 'Q8NGT1'})"
"frozenset({'Q9NZN4', 'Notch', 'Q96CW1'})"
"frozenset({'Notch', 'P35244', 'Q15459'})"
"frozenset({'Notch', 'P52789', 'P07900'})"
"frozenset({'Notch', 'P49019', 'P01303'})"
"frozenset({'Notch', 'O75581', 'P78368'})"
"frozenset({'Notch', 'Q13114', 'P28908'})"
"frozenset({'Notch', 'P31946', 'O60343'})"
"frozenset({'Q13588', 'Q07666', 'Notch'})"
"frozenset({'P38159', 'Notch', 'O60674'})"
"frozenset({'Notch', 'Q05639', 'Q13618'})"
"frozenset({'P63244', 'P48551', 'Notch'})"
"frozenset({'Notch', 'P62826', 'P18124'})"
"frozenset({'P40763', 'P35219', 'Notch'})"
"frozenset({'Notch', 'Q9GZV4', 'P40337'})"
"frozenset({'Notch', 'Q9NVP2', 'Q09028'})"
"frozenset({'Q8N9I9', 'O75604', 'Notch'})"
"frozenset({'Notch', 'Q10587', 'P53567'})"
"frozenset({'Notch', 'O00463', 'Q8NCF5'})"
"frozenset({'Q8NGY3', 'Notch', 'P32121'})"
"frozenset({'Notch', 'Q6XQN6', 'P53041'})"
"frozenset({'Notch', 'Q9BYQ2', 'P49736'})"
"frozenset({'Notch', 'Q13177', 'Q14697'})"
"frozenset({'P57078', 'Q13077', 'Notch'})"
"frozenset({'Notch', 'P24941', 'Q5JTV8'})"
"frozenset({'Q8IYB1', 'Q9UP95', 'Notch'})"
"frozenset({'Notch', 'P16885', 'O60674'})"
"frozenset({'Notch', 'Q12906', 'Q13470'})"
"frozenset({'Notch', 'Q96JQ0', 'Q92905'})"
"frozenset({'P48651', 'Notch', 'O43889'})"
"frozenset({'Notch', 'P04792', 'Q86SE9'})"
"frozenset({'Notch', 'Q6P2Q9', 'Q93074'})"
"frozenset({'Notch', 'Q9Y3D3', 'Q8NI60'})"
"frozenset({'Notch', 'Q9UHV9', 'O75170'})"
"frozenset({'Notch', 'O75251', 'Q9NX14'})"
"frozenset({'Notch', 'Q5TBC7', 'O75360'})"
"frozenset({'Notch', 'Q9NQB0', 'P10275'})"
"frozenset({'Notch', 'O15297', 'O14757'})"
"frozenset({'P05412', 'Q9BWU0', 'Notch'})"
"frozenset({'P04844', 'Notch', 'P25705'})"
"frozenset({'Notch', 'P47897', 'Q9H9H4'})"
"frozenset({'Notch', 'P51532', 'Q92905'})"
"frozenset({'Notch', 'P35225', 'P11142'})"
"frozenset({'Notch', 'Q2KHN1', 'Q92997'})"
"frozenset({'Notch', 'P68371', 'P32121'})"
"frozenset({'Notch', 'P25815', 'P23297'})"
"frozenset({'Notch', 'P00533', 'P07437'})"
"frozenset({'Q8NHV4', 'P78371', 'Notch'})"
"frozenset({'Q6NUS6', 'Q5VV42', 'Notch'})"
"frozenset({'Notch', 'Q86YD7', 'P21333'})"
"frozenset({'Notch', 'P30419', 'Q96KN1'})"
"frozenset({'Notch', 'P50995', 'P14174'})"
"frozenset({'Notch', 'P68036', 'P25963'})"
"frozenset({'Notch', 'Q6PJG9', 'P0DMV9'})"
"frozenset({'P19320', 'P27694', 'Notch'})"
"frozenset({'Notch', 'P51648', 'Q6DD88'})"
"frozenset({'Notch', 'Q9UJV9', 'Q15424'})"
"frozenset({'Q9Y6K9', 'Q9NTJ3', 'Notch'})"
"frozenset({'Notch', 'Q969Q1', 'O75604'})"
"frozenset({'Notch', 'Q9C0B0', 'Q7Z417'})"
"frozenset({'Notch', 'O75038', 'Q05513'})"
"frozenset({'Q01860', 'Notch', 'Q9ULG1'})"
"frozenset({'Notch', 'P0C0S5', 'O00233'})"
"frozenset({'Notch', 'P06748', 'Q15208'})"
"frozenset({'Notch', 'Q9H425', 'P24941'})"
"frozenset({'Notch', 'Q15038', 'Q9H0X6'})"
"frozenset({'Notch', 'Q15834', 'O94868'})"
"frozenset({'Notch', 'P62263', 'P46781'})"
"frozenset({'Q96EB6', 'Q15717', 'Notch'})"
"frozenset({'Notch', 'Q9UQF2', 'Q16584'})"
"frozenset({'Notch', 'P43115', 'Q99569'})"
"frozenset({'Notch', 'Q8TBB0', 'Q9UI95'})"
"frozenset({'Notch', 'P27105', 'P42167'})"
"frozenset({'Notch', 'Q9H4B7', 'Q13619'})"
"frozenset({'Notch', 'O14757', 'Q13315'})"
"frozenset({'Notch', 'Q9Y6C2', 'Q9UM11'})"
"frozenset({'Notch', 'P31939', 'Q96Q11'})"
"frozenset({'Q9P286', 'Notch', 'Q9HCK4'})"
"frozenset({'Notch', 'P30050', 'P62851'})"
"frozenset({'Notch', 'Q13002', 'Q6UWE0'})"
"frozenset({'Notch', 'Q7Z3S9', 'Q9BYQ3'})"
"frozenset({'P31146', 'Notch', 'P61160'})"
"frozenset({'O95081', 'P05067', 'Notch'})"
"frozenset({'Notch', 'Q8IZH2', 'Q96L58'})"
"frozenset({'Notch', 'Q969H0', 'A1L167'})"
"frozenset({'Notch', 'P62913', 'P39019'})"
"frozenset({'P53992', 'Q9H2H8', 'Notch'})"
"frozenset({'Notch', 'Q6UXL0', 'P13725'})"
"frozenset({'Notch', 'A6NJB7', 'Q15323'})"
"frozenset({'O43318', 'Notch', 'Q16539'})"
"frozenset({'Notch', 'P01903', 'P62258'})"
