negatives
"frozenset({'Q8IWR0', 'Q13153', 'BCR'})"
"frozenset({'BCR', 'Q9H0R5', 'O95819'})"
"frozenset({'BCR', 'P11831', 'P08962'})"
"frozenset({'BCR', 'P61254', 'Q13619'})"
"frozenset({'BCR', 'Q13895', 'Q8IYX8'})"
"frozenset({'Q8WXA8', 'BCR', 'Q8TB61'})"
"frozenset({'Q8N6G5', 'BCR', 'Q8TDX6'})"
"frozenset({'BCR', 'Q13283', 'Q8N6T7'})"
"frozenset({'BCR', 'Q8N149', 'O75015'})"
"frozenset({'Q93034', 'BCR', 'P61353'})"
"frozenset({'BCR', 'P62987', 'Q9BXM7'})"
"frozenset({'BCR', 'Q16288', 'P04629'})"
"frozenset({'BCR', 'P62263', 'Q07020'})"
"frozenset({'Q9HBL6', 'BCR', 'P21145'})"
"frozenset({'Q9NZT1', 'BCR', 'Q15746'})"
"frozenset({'BCR', 'P68104', 'P15880'})"
"frozenset({'Q15363', 'BCR', 'Q13347'})"
"frozenset({'BCR', 'Q13164', 'Q07890'})"
"frozenset({'Q5JVF3', 'BCR', 'Q9HCE1'})"
"frozenset({'BCR', 'Q05519', 'Q08211'})"
"frozenset({'BCR', 'P51553', 'O14974'})"
"frozenset({'BCR', 'Q86V81', 'Q13247'})"
"frozenset({'BCR', 'P27348', 'P02549'})"
"frozenset({'BCR', 'Q9HCU8', 'O76064'})"
"frozenset({'Q8WXC6', 'BCR', 'Q9UFG5'})"
"frozenset({'BCR', 'P31995', 'P16333'})"
"frozenset({'Q9H9B4', 'BCR', 'Q01844'})"
"frozenset({'BCR', 'Q13233', 'P52272'})"
"frozenset({'Q8TD31', 'BCR', 'Q96P16'})"
"frozenset({'BCR', 'P13612', 'P62888'})"
"frozenset({'O43156', 'BCR', 'P62979'})"
"frozenset({'O60260', 'BCR', 'Q07955'})"
"frozenset({'O43257', 'BCR', 'Q9Y265'})"
"frozenset({'BCR', 'Q9UNZ2', 'O43252'})"
"frozenset({'Q9H7D7', 'P62241', 'BCR'})"
"frozenset({'Q9UHD0', 'BCR', 'P38484'})"
"frozenset({'P52739', 'BCR', 'Q09666'})"
"frozenset({'BCR', 'Q9BXN2', 'O60603'})"
"frozenset({'BCR', 'Q92633', 'O14610'})"
"frozenset({'BCR', 'Q9NQC3', 'P52272'})"
"frozenset({'BCR', 'Q96HY6', 'Q92614'})"
"frozenset({'BCR', 'P57078', 'Q6UWR7'})"
"frozenset({'BCR', 'P60006', 'Q86T82'})"
"frozenset({'BCR', 'P20749', 'O60341'})"
"frozenset({'BCR', 'Q13948', 'P48431'})"
"frozenset({'BCR', 'P83731', 'Q8NHW5'})"
"frozenset({'P67870', 'BCR', 'Q6PJ21'})"
"frozenset({'BCR', 'P84090', 'P32121'})"
"frozenset({'BCR', 'P52597', 'Q14103'})"
"frozenset({'P62829', 'BCR', 'P62851'})"
"frozenset({'P50995', 'BCR', 'P07355'})"
"frozenset({'P31943', 'BCR', 'P11441'})"
"frozenset({'BCR', 'Q5HYI8', 'P27105'})"
"frozenset({'Q05397', 'BCR', 'Q9UNE7'})"
"frozenset({'Q8TDM6', 'BCR', 'O60504'})"
"frozenset({'Q96KQ7', 'BCR', 'P16333'})"
"frozenset({'BCR', 'P56524', 'Q15717'})"
"frozenset({'Q13435', 'BCR', 'O60341'})"
"frozenset({'P13639', 'BCR', 'Q71U36'})"
"frozenset({'BCR', 'O60573', 'Q9NYF3'})"
"frozenset({'BCR', 'P98160', 'P17948'})"
"frozenset({'BCR', 'P35443', 'P05067'})"
"frozenset({'P38936', 'BCR', 'P01106'})"
"frozenset({'BCR', 'O95500', 'O14493'})"
"frozenset({'P01133', 'BCR', 'P10721'})"
"frozenset({'BCR', 'O43291', 'P78357'})"
"frozenset({'Q9NYA1', 'Q12933', 'BCR'})"
"frozenset({'P0DJD0', 'BCR', 'P61956'})"
"frozenset({'BCR', 'Q53S58', 'Q96FQ6'})"
"frozenset({'Q9HAV0', 'BCR', 'O14980'})"
"frozenset({'BCR', 'P31689', 'P24534'})"
"frozenset({'BCR', 'P68371', 'O14544'})"
"frozenset({'BCR', 'O76074', 'O95684'})"
"frozenset({'BCR', 'Q8TAQ2', 'Q86X55'})"
"frozenset({'BCR', 'Q15393', 'Q6NUN9'})"
"frozenset({'BCR', 'P11940', 'O43765'})"
"frozenset({'BCR', 'Q9NR30', 'Q9UJM3'})"
"frozenset({'BCR', 'Q9HC98', 'Q9HAV4'})"
"frozenset({'BCR', 'Q9BST9', 'Q9NRR6'})"
"frozenset({'P33992', 'BCR', 'Q13885'})"
"frozenset({'BCR', 'Q9BRP8', 'P46934'})"
"frozenset({'BCR', 'Q8TEL6', 'Q96CF2'})"
"frozenset({'BCR', 'Q08050', 'P21675'})"
"frozenset({'BCR', 'Q969V6', 'P11831'})"
"frozenset({'O43854', 'BCR', 'Q00532'})"
"frozenset({'O60315', 'BCR', 'P56524'})"
"frozenset({'O15235', 'BCR', 'Q5T3J3'})"
"frozenset({'BCR', 'P52926', 'Q99873'})"
"frozenset({'Q6UY14', 'BCR', 'Q02930'})"
"frozenset({'Q9H1Y0', 'BCR', 'P55072'})"
"frozenset({'BCR', 'Q16629', 'O75530'})"
"frozenset({'BCR', 'P36776', 'Q13325'})"
