negatives
"frozenset({'Q13285', 'IL6', 'P49675'})"
"frozenset({'IL6', 'P11413', 'P32456'})"
"frozenset({'O95619', 'IL6', 'O00327'})"
"frozenset({'IL6', 'O60721', 'P55157'})"
"frozenset({'IL6', 'O15524', 'P07333'})"
"frozenset({'IL6', 'Q99856', 'O60220'})"
"frozenset({'O95997', 'IL6', 'P16885'})"
"frozenset({'IL6', 'P15884', 'O95602'})"
"frozenset({'Q9P0J0', 'IL6', 'Q6VAB6'})"
"frozenset({'Q7Z3S9', 'O60259', 'IL6'})"
"frozenset({'IL6', 'P49917', 'P04406'})"
"frozenset({'IL6', 'Q13261', 'P35243'})"
"frozenset({'IL6', 'Q96SB4', 'P34998'})"
"frozenset({'P62841', 'IL6', 'P18124'})"
"frozenset({'Q9H078', 'IL6', 'O15198'})"
"frozenset({'Q9NSY1', 'Q6IQ23', 'IL6'})"
"frozenset({'Q9UMS4', 'Q86XP3', 'IL6'})"
"frozenset({'P17812', 'IL6', 'Q04323'})"
"frozenset({'P24941', 'P43246', 'IL6'})"
"frozenset({'Q9NRC8', 'IL6', 'P26038'})"
"frozenset({'IL6', 'Q5VVX9', 'Q9BWF2'})"
"frozenset({'Q9NXG2', 'IL6', 'P46937'})"
"frozenset({'IL6', 'Q96T88', 'P04637'})"
"frozenset({'Q9H1Y0', 'Q15631', 'IL6'})"
"frozenset({'P59991', 'IL6', 'Q03989'})"
"frozenset({'P15502', 'P08246', 'IL6'})"
"frozenset({'O00585', 'IL6', 'Q5BVD1'})"
"frozenset({'Q9BYJ9', 'IL6', 'Q9BZE9'})"
"frozenset({'IL6', 'Q96QK1', 'P04629'})"
"frozenset({'Q9NYB0', 'Q69YI7', 'IL6'})"
"frozenset({'Q8N112', 'IL6', 'P21854'})"
"frozenset({'Q15287', 'IL6', 'Q9BUJ2'})"
"frozenset({'IL6', 'P55809', 'Q8N3Z0'})"
"frozenset({'IL6', 'Q9BS40', 'Q9UI42'})"
"frozenset({'IL6', 'P16871', 'Q16619'})"
"frozenset({'P37840', 'IL6', 'Q09161'})"
"frozenset({'IL6', 'Q9H9A7', 'A8MT69'})"
"frozenset({'P58107', 'Q9Y5K5', 'IL6'})"
"frozenset({'Q9NP81', 'IL6', 'Q969G5'})"
"frozenset({'Q9UBN7', 'O60341', 'IL6'})"
"frozenset({'O95166', 'P32969', 'IL6'})"
"frozenset({'Q9UI14', 'Q96MX0', 'IL6'})"
"frozenset({'Q9BY43', 'O75874', 'IL6'})"
"frozenset({'IL6', 'P35659', 'O95782'})"
"frozenset({'P40855', 'IL6', 'Q9BRR3'})"
"frozenset({'IL6', 'Q9Y508', 'Q96B02'})"
"frozenset({'IL6', 'Q8IUC4', 'Q9UBN6'})"
"frozenset({'IL6', 'Q9UF56', 'O43318'})"
"frozenset({'IL6', 'Q13009', 'P15153'})"
"frozenset({'IL6', 'Q92831', 'P49336'})"
"frozenset({'IL6', 'P31947', 'P30305'})"
"frozenset({'Q99759', 'IL6', 'O95831'})"
"frozenset({'IL6', 'P33176', 'Q6IQ23'})"
"frozenset({'P04083', 'Q9Y3E0', 'IL6'})"
"frozenset({'P62136', 'P30281', 'IL6'})"
"frozenset({'O95400', 'IL6', 'P52756'})"
"frozenset({'IL6', 'P19838', 'Q13352'})"
"frozenset({'IL6', 'P01106', 'O43439'})"
"frozenset({'IL6', 'P13929', 'P00441'})"
"frozenset({'IL6', 'P13612', 'P15153'})"
"frozenset({'Q92614', 'IL6', 'Q96HY6'})"
"frozenset({'IL6', 'P48775', 'Q68DK2'})"
"frozenset({'O15318', 'Q9NW13', 'IL6'})"
"frozenset({'Q9BRT9', 'IL6', 'P33993'})"
"frozenset({'IL6', 'Q8IWL3', 'Q4U2R6'})"
"frozenset({'IL6', 'O15519', 'P22087'})"
"frozenset({'Q13243', 'IL6', 'P15880'})"
"frozenset({'Q7Z3S9', 'IL6', 'Q6EMK4'})"
"frozenset({'Q9NZ08', 'IL6', 'Q13291'})"
"frozenset({'Q86VI4', 'Q96A65', 'IL6'})"
"frozenset({'IL6', 'Q14240', 'P38919'})"
"frozenset({'Q15555', 'O60308', 'IL6'})"
"frozenset({'P54750', 'IL6', 'P05067'})"
"frozenset({'Q9P2Y5', 'IL6', 'Q12769'})"
"frozenset({'Q8IUH5', 'IL6', 'O14662'})"
"frozenset({'IL6', 'P22607', 'Q9NRF2'})"
"frozenset({'IL6', 'Q9UPQ0', 'Q06546'})"
"frozenset({'P63279', 'IL6', 'Q9BYV2'})"
"frozenset({'IL6', 'Q96QT6', 'Q2KHR3'})"
"frozenset({'Q9P2B4', 'Q13188', 'IL6'})"
"frozenset({'IL6', 'Q9UP95', 'Q12906'})"
"frozenset({'Q8TEH3', 'Q9P2M7', 'IL6'})"
"frozenset({'P08621', 'IL6', 'Q93034'})"
"frozenset({'P42858', 'IL6', 'Q9NP66'})"
"frozenset({'Q5T754', 'IL6', 'A8MQ03'})"
"frozenset({'P52272', 'P15880', 'IL6'})"
"frozenset({'Q6NYC1', 'IL6', 'Q92993'})"
"frozenset({'IL6', 'Q03135', 'Q63HR2'})"
"frozenset({'Q9NRG0', 'IL6', 'P13010'})"
"frozenset({'IL6', 'P61221', 'O14980'})"
"frozenset({'P62854', 'Q00839', 'IL6'})"
"frozenset({'IL6', 'P05067', 'Q9BSW7'})"
"frozenset({'IL6', 'Q14469', 'Q8IYD8'})"
"frozenset({'Q9Y478', 'IL6', 'Q8N1F7'})"
"frozenset({'IL6', 'Q9NS91', 'Q08379'})"
"frozenset({'IL6', 'Q9Y3C0', 'P11047'})"
"frozenset({'IL6', 'Q9Y3M2', 'Q99816'})"
"frozenset({'Q13617', 'IL6', 'Q9UNS2'})"
"frozenset({'Q92974', 'IL6', 'Q9NRD1'})"
"frozenset({'P05771', 'IL6', 'O43889'})"
"frozenset({'P46108', 'Q99504', 'IL6'})"
"frozenset({'P52597', 'P25205', 'IL6'})"
"frozenset({'P63000', 'IL6', 'Q9NZQ3'})"
"frozenset({'IL6', 'P42345', 'P01106'})"
"frozenset({'P55039', 'IL6', 'P61244'})"
"frozenset({'P23511', 'Q04743', 'IL6'})"
