negatives
"frozenset({'Q96HT8', 'Q99757', 'BDNF'})"
"frozenset({'P30466', 'BDNF', 'P01732'})"
"frozenset({'P42679', 'BDNF', 'P08238'})"
"frozenset({'Q12834', 'BDNF', 'Q99832'})"
"frozenset({'P36578', 'P04637', 'BDNF'})"
"frozenset({'A6NEM1', 'BDNF', 'Q8N6Y0'})"
"frozenset({'Q13190', 'BDNF', 'O75410'})"
"frozenset({'BDNF', 'P23025', 'P43246'})"
"frozenset({'BDNF', 'P38405', 'Q9H339'})"
"frozenset({'BDNF', 'O60308', 'Q8IWC1'})"
"frozenset({'O15085', 'BDNF', 'P63000'})"
"frozenset({'O75197', 'P56704', 'BDNF'})"
"frozenset({'Q9Y6D9', 'BDNF', 'Q9Y2J4'})"
"frozenset({'P14902', 'BDNF', 'P01579'})"
"frozenset({'P35638', 'BDNF', 'P15407'})"
"frozenset({'P40337', 'BDNF', 'Q8TE49'})"
"frozenset({'P24941', 'BDNF', 'P78347'})"
"frozenset({'Q13526', 'BDNF', 'P78412'})"
"frozenset({'Q96T76', 'Q9UKA1', 'BDNF'})"
"frozenset({'P28290', 'P63104', 'BDNF'})"
"frozenset({'P00533', 'Q9UGK3', 'BDNF'})"
"frozenset({'Q9Y6Q5', 'P05067', 'BDNF'})"
"frozenset({'P56524', 'BDNF', 'O43896'})"
"frozenset({'Q9UBN7', 'Q9NQC7', 'BDNF'})"
"frozenset({'P27986', 'P15153', 'BDNF'})"
"frozenset({'Q8NEP7', 'BDNF', 'O76003'})"
"frozenset({'O43609', 'Q9Y2K5', 'BDNF'})"
"frozenset({'BDNF', 'P53041', 'Q9Y2Z0'})"
"frozenset({'Q9H3R0', 'BDNF', 'O75164'})"
"frozenset({'Q8WWH5', 'BDNF', 'Q86VP6'})"
"frozenset({'Q9BZE0', 'BDNF', 'Q7Z4W3'})"
"frozenset({'Q9BV73', 'Q5SW79', 'BDNF'})"
"frozenset({'P01106', 'O96020', 'BDNF'})"
"frozenset({'Q13617', 'BDNF', 'Q9BT78'})"
"frozenset({'Q16659', 'BDNF', 'P27797'})"
"frozenset({'Q8N8A2', 'BDNF', 'Q9NWT6'})"
"frozenset({'Q86YC2', 'BDNF', 'P38398'})"
"frozenset({'Q96GX1', 'Q9NRD1', 'BDNF'})"
"frozenset({'Q8IWZ8', 'BDNF', 'Q15428'})"
"frozenset({'Q9HBV2', 'BDNF', 'Q7Z7G8'})"
"frozenset({'Q96CW5', 'Q99996', 'BDNF'})"
"frozenset({'Q14680', 'Q9NQT8', 'BDNF'})"
"frozenset({'Q8WWB5', 'Q7Z699', 'BDNF'})"
"frozenset({'BDNF', 'Q9BPW8', 'Q96MF7'})"
"frozenset({'Q8TAE8', 'BDNF', 'Q6P1L8'})"
"frozenset({'P49715', 'BDNF', 'P10276'})"
"frozenset({'P05067', 'Q9NRC8', 'BDNF'})"
"frozenset({'BDNF', 'Q99417', 'Q9UHL4'})"
"frozenset({'P15374', 'Q16864', 'BDNF'})"
"frozenset({'Q96PV7', 'BDNF', 'P36406'})"
"frozenset({'Q13526', 'BDNF', 'O95785'})"
"frozenset({'P29317', 'P05067', 'BDNF'})"
"frozenset({'BDNF', 'Q9HAV0', 'P61952'})"
"frozenset({'P23246', 'Q96CW1', 'BDNF'})"
"frozenset({'Q14919', 'P78362', 'BDNF'})"
"frozenset({'Q9UKX7', 'BDNF', 'Q96EE3'})"
"frozenset({'O43291', 'BDNF', 'P78357'})"
"frozenset({'P26641', 'Q504Q3', 'BDNF'})"
"frozenset({'P51965', 'BDNF', 'Q8N7H5'})"
"frozenset({'Q9NY57', 'BDNF', 'P08238'})"
"frozenset({'P05412', 'BDNF', 'Q96QK1'})"
"frozenset({'E9PAV3', 'BDNF', 'Q6P2Q9'})"
"frozenset({'BDNF', 'Q9H8Y5', 'Q5VZE5'})"
"frozenset({'O75369', 'O95433', 'BDNF'})"
"frozenset({'P54136', 'BDNF', 'Q13951'})"
"frozenset({'Q8TEW0', 'O15105', 'BDNF'})"
"frozenset({'P62253', 'BDNF', 'Q7Z6Z7'})"
"frozenset({'Q8NI27', 'O43709', 'BDNF'})"
"frozenset({'BDNF', 'Q9NUM4', 'Q9BVX2'})"
"frozenset({'Q12962', 'O75529', 'BDNF'})"
"frozenset({'O60262', 'BDNF', 'Q8NG78'})"
"frozenset({'BDNF', 'P57078', 'P07900'})"
"frozenset({'Q13009', 'BDNF', 'P52735'})"
"frozenset({'Q8IVB5', 'BDNF', 'Q14258'})"
"frozenset({'BDNF', 'Q96B02', 'Q00534'})"
"frozenset({'Q9UKV5', 'BDNF', 'P28070'})"
"frozenset({'BDNF', 'Q02040', 'Q15633'})"
"frozenset({'P12883', 'BDNF', 'Q15544'})"
"frozenset({'Q8IXQ9', 'BDNF', 'P11142'})"
"frozenset({'Q06265', 'BDNF', 'Q8IUH5'})"
"frozenset({'P04637', 'BDNF', 'O14514'})"
"frozenset({'P20962', 'BDNF', 'Q9NRX4'})"
"frozenset({'Q8WW35', 'BDNF', 'P38398'})"
"frozenset({'O00170', 'BDNF', 'Q16543'})"
"frozenset({'Q13873', 'P53667', 'BDNF'})"
"frozenset({'Q13618', 'P43307', 'BDNF'})"
"frozenset({'Q8TBB1', 'BDNF', 'Q9UHB4'})"
"frozenset({'Q9Y5H8', 'BDNF', 'P46108'})"
"frozenset({'BDNF', 'Q7L5N1', 'P08621'})"
"frozenset({'BDNF', 'Q86XR7', 'Q6SZW1'})"
"frozenset({'Q15365', 'BDNF', 'P17096'})"
"frozenset({'Q9HCU8', 'BDNF', 'P35249'})"
"frozenset({'Q8TEM1', 'BDNF', 'Q16719'})"
"frozenset({'P25774', 'BDNF', 'P98170'})"
"frozenset({'Q96RT1', 'P23508', 'BDNF'})"
"frozenset({'P19784', 'BDNF', 'Q99575'})"
"frozenset({'P10145', 'P49238', 'BDNF'})"
"frozenset({'Q5T4B2', 'Q6PEX3', 'BDNF'})"
"frozenset({'Q9UBK9', 'BDNF', 'Q6SZW1'})"
