negatives
"frozenset({'Q9NPJ4', 'TWEAK', 'Q05516'})"
"frozenset({'P15090', 'Q93063', 'TWEAK'})"
"frozenset({'TWEAK', 'P61026', 'P09382'})"
"frozenset({'Q9ULR3', 'Q12923', 'TWEAK'})"
"frozenset({'Q16537', 'Q9C0J9', 'TWEAK'})"
"frozenset({'O75909', 'P02511', 'TWEAK'})"
"frozenset({'Q9GZT9', 'TWEAK', 'P24928'})"
"frozenset({'P22314', 'P46527', 'TWEAK'})"
"frozenset({'P12830', 'Q9Y6M5', 'TWEAK'})"
"frozenset({'Q53S33', 'Q5JRX3', 'TWEAK'})"
"frozenset({'Q8NC06', 'TWEAK', 'O95292'})"
"frozenset({'A2VDF0', 'Q96RS6', 'TWEAK'})"
"frozenset({'Q9Y2X0', 'Q9H668', 'TWEAK'})"
"frozenset({'Q9UBI6', 'P34969', 'TWEAK'})"
"frozenset({'P63244', 'O95793', 'TWEAK'})"
"frozenset({'Q92784', 'TWEAK', 'O43592'})"
"frozenset({'Q9UJS0', 'TWEAK', 'Q9BQ83'})"
"frozenset({'Q9UKV0', 'P12270', 'TWEAK'})"
"frozenset({'Q96D46', 'P12268', 'TWEAK'})"
"frozenset({'O43889', 'Q53TN4', 'TWEAK'})"
"frozenset({'Q9UMX3', 'TWEAK', 'Q16548'})"
"frozenset({'P62873', 'P02771', 'TWEAK'})"
"frozenset({'O76093', 'P09619', 'TWEAK'})"
"frozenset({'Q8WV99', 'P62195', 'TWEAK'})"
"frozenset({'Q15020', 'TWEAK', 'P28066'})"
"frozenset({'Q149N8', 'TWEAK', 'Q70CQ1'})"
"frozenset({'P78556', 'P51684', 'TWEAK'})"
"frozenset({'Q9NQT8', 'TWEAK', 'Q8N3F8'})"
"frozenset({'O15498', 'P12830', 'TWEAK'})"
"frozenset({'P16220', 'TWEAK', 'P43354'})"
"frozenset({'O43491', 'TWEAK', 'P05067'})"
"frozenset({'P09038', 'TWEAK', 'O75056'})"
"frozenset({'Q9H0R8', 'Q9H6L5', 'TWEAK'})"
"frozenset({'Q99259', 'Q9H2G2', 'TWEAK'})"
"frozenset({'Q9Y450', 'TWEAK', 'Q9BRX2'})"
"frozenset({'Q6P1Q0', 'P08631', 'TWEAK'})"
"frozenset({'Q16659', 'TWEAK', 'P33981'})"
"frozenset({'Q969R5', 'TWEAK', 'P50990'})"
"frozenset({'Q9Y6M4', 'P16220', 'TWEAK'})"
"frozenset({'Q15561', 'TWEAK', 'Q8ND90'})"
"frozenset({'P62877', 'TWEAK', 'Q9UBF1'})"
"frozenset({'O43670', 'TWEAK', 'O15047'})"
"frozenset({'P08047', 'TWEAK', 'P17096'})"
"frozenset({'P07948', 'TWEAK', 'O95619'})"
"frozenset({'Q9Y3T9', 'Q16666', 'TWEAK'})"
"frozenset({'Q7Z460', 'Q7KZI7', 'TWEAK'})"
"frozenset({'P06731', 'TWEAK', 'P16581'})"
"frozenset({'O00358', 'TWEAK', 'Q8IVW6'})"
"frozenset({'Q15651', 'TWEAK', 'Q15796'})"
"frozenset({'Q15050', 'Q99848', 'TWEAK'})"
