negatives
"frozenset({'Q3KQZ1', 'Q15437', 'FSH'})"
"frozenset({'Q9H8U3', 'Q0VD86', 'FSH'})"
"frozenset({'Q5VTD9', 'Q9NVP4', 'FSH'})"
"frozenset({'P04818', 'FSH', 'Q12906'})"
"frozenset({'P62993', 'Q0VD86', 'FSH'})"
"frozenset({'Q96SZ6', 'O95817', 'FSH'})"
"frozenset({'P13612', 'FSH', 'P22681'})"
"frozenset({'P23381', 'O75146', 'FSH'})"
"frozenset({'P24928', 'P20248', 'FSH'})"
"frozenset({'Q9H330', 'FSH', 'Q9NRD1'})"
"frozenset({'Q01804', 'P68431', 'FSH'})"
"frozenset({'O95071', 'O43683', 'FSH'})"
"frozenset({'P08238', 'O15146', 'FSH'})"
"frozenset({'P17301', 'FSH', 'P12110'})"
"frozenset({'P05067', 'FSH', 'Q9UBD5'})"
"frozenset({'P13804', 'FSH', 'Q5JU00'})"
"frozenset({'Q9BRR9', 'Q9Y3Q8', 'FSH'})"
"frozenset({'P54652', 'FSH', 'O43353'})"
"frozenset({'Q6WCQ1', 'FSH', 'Q9BZL4'})"
"frozenset({'Q9Y2X0', 'Q99459', 'FSH'})"
"frozenset({'Q96EQ0', 'O95424', 'FSH'})"
"frozenset({'Q9UHD2', 'FSH', 'Q9Y297'})"
"frozenset({'P51805', 'P13747', 'FSH'})"
"frozenset({'O00560', 'Q9NWS6', 'FSH'})"
"frozenset({'Q96HA8', 'FSH', 'P61289'})"
"frozenset({'P83731', 'FSH', 'Q12906'})"
"frozenset({'FSH', 'P05412', 'Q14677'})"
"frozenset({'Q6ZU80', 'Q9H1I8', 'FSH'})"
"frozenset({'P23511', 'P09619', 'FSH'})"
"frozenset({'P08069', 'Q9Y264', 'FSH'})"
"frozenset({'O43491', 'FSH', 'P05067'})"
"frozenset({'Q9NW13', 'P17812', 'FSH'})"
"frozenset({'P11142', 'FSH', 'Q5T7W0'})"
"frozenset({'P04629', 'Q96PK6', 'FSH'})"
"frozenset({'O95947', 'A8MQ03', 'FSH'})"
"frozenset({'P06748', 'Q9UKF6', 'FSH'})"
"frozenset({'Q8N5K1', 'Q9UGM1', 'FSH'})"
"frozenset({'Q9UHY1', 'FSH', 'Q96AT9'})"
"frozenset({'O95714', 'Q7L2H7', 'FSH'})"
"frozenset({'O43424', 'A4D2P6', 'FSH'})"
"frozenset({'Q15819', 'P22314', 'FSH'})"
"frozenset({'Q92841', 'O60260', 'FSH'})"
"frozenset({'Q00987', 'FSH', 'P56282'})"
"frozenset({'Q96DI7', 'Q13523', 'FSH'})"
"frozenset({'P60409', 'Q9Y3M9', 'FSH'})"
"frozenset({'O43889', 'Q9NV29', 'FSH'})"
"frozenset({'Q86VP6', 'Q9NX07', 'FSH'})"
"frozenset({'P27348', 'P52209', 'FSH'})"
"frozenset({'Q15678', 'FSH', 'O75044'})"
"frozenset({'O60262', 'FSH', 'Q8NGQ4'})"
"frozenset({'O60216', 'P36915', 'FSH'})"
"frozenset({'P01106', 'P22732', 'FSH'})"
"frozenset({'Q7L190', 'FSH', 'Q92900'})"
"frozenset({'P51812', 'P05198', 'FSH'})"
"frozenset({'Q8IY81', 'Q9H074', 'FSH'})"
"frozenset({'Q9UKV8', 'P63244', 'FSH'})"
"frozenset({'P35244', 'P14678', 'FSH'})"
"frozenset({'Q8TC84', 'FSH', 'Q14CS0'})"
"frozenset({'Q09472', 'P27695', 'FSH'})"
"frozenset({'Q05193', 'FSH', 'P63165'})"
"frozenset({'P85037', 'P06400', 'FSH'})"
"frozenset({'O14558', 'Q96PN8', 'FSH'})"
"frozenset({'Q9H0W5', 'FSH', 'Q15006'})"
"frozenset({'Q16623', 'P08670', 'FSH'})"
"frozenset({'Q15238', 'P35590', 'FSH'})"
"frozenset({'Q6ZW31', 'Q8TEH3', 'FSH'})"
"frozenset({'Q96C28', 'FSH', 'P59923'})"
"frozenset({'P09471', 'FSH', 'O75084'})"
"frozenset({'Q9H4E7', 'Q0VD86', 'FSH'})"
"frozenset({'Q5JRV8', 'Q8IYK4', 'FSH'})"
"frozenset({'Q92731', 'FSH', 'P28072'})"
"frozenset({'Q93009', 'FSH', 'O14757'})"
"frozenset({'O95166', 'P35527', 'FSH'})"
"frozenset({'Q969G3', 'O75376', 'FSH'})"
"frozenset({'P07305', 'P05771', 'FSH'})"
"frozenset({'Q99469', 'FSH', 'P63104'})"
"frozenset({'P0CW19', 'FSH', 'Q5SWW7'})"
"frozenset({'O15075', 'Q9HAU0', 'FSH'})"
"frozenset({'Q71UI9', 'Q15717', 'FSH'})"
"frozenset({'Q9Y2J2', 'Q15287', 'FSH'})"
"frozenset({'P42768', 'Q12913', 'FSH'})"
"frozenset({'Q9H422', 'Q7Z4I7', 'FSH'})"
"frozenset({'O95863', 'Q8N1E6', 'FSH'})"
"frozenset({'P58876', 'FSH', 'P03372'})"
"frozenset({'Q9H1A4', 'Q13042', 'FSH'})"
"frozenset({'Q15366', 'P25788', 'FSH'})"
"frozenset({'P08708', 'P05388', 'FSH'})"
"frozenset({'Q8TAP6', 'O95835', 'FSH'})"
"frozenset({'P09972', 'P26885', 'FSH'})"
"frozenset({'P35228', 'P25788', 'FSH'})"
"frozenset({'Q08380', 'FSH', 'Q9H0R8'})"
"frozenset({'Q9HC52', 'Q56NI9', 'FSH'})"
"frozenset({'P54646', 'Q9UDV6', 'FSH'})"
"frozenset({'Q12906', 'FSH', 'P27105'})"
"frozenset({'P62851', 'P05387', 'FSH'})"
"frozenset({'P63220', 'P05141', 'FSH'})"
"frozenset({'Q08170', 'O95793', 'FSH'})"
"frozenset({'Q92930', 'P23258', 'FSH'})"
"frozenset({'P43115', 'FSH', 'P30679'})"
"frozenset({'Q69YU3', 'Q96S53', 'FSH'})"
"frozenset({'O00567', 'Q14999', 'FSH'})"
"frozenset({'P11021', 'Q8WXX5', 'FSH'})"
"frozenset({'Q92731', 'A7E2Y1', 'FSH'})"
"frozenset({'FSH', 'Q9BSU1', 'Q8NFH5'})"
"frozenset({'P38484', 'P01242', 'FSH'})"
"frozenset({'P49759', 'FSH', 'Q96T37'})"
"frozenset({'Q9Y5P6', 'Q8NBS9', 'FSH'})"
"frozenset({'O00212', 'Q5T5U3', 'FSH'})"
"frozenset({'Q15109', 'O60674', 'FSH'})"
"frozenset({'Q9UBC2', 'P49757', 'FSH'})"
"frozenset({'Q9H492', 'P08708', 'FSH'})"
"frozenset({'FSH', 'O14974', 'Q13315'})"
"frozenset({'Q15077', 'Q8NI22', 'FSH'})"
"frozenset({'Q2QGD7', 'Q9NQ76', 'FSH'})"
"frozenset({'O95714', 'Q8N4C6', 'FSH'})"
"frozenset({'P69905', 'Q9NZD4', 'FSH'})"
"frozenset({'Q14498', 'Q86VP6', 'FSH'})"
"frozenset({'Q96CS3', 'FSH', 'Q96AQ8'})"
"frozenset({'Q9GZT8', 'P0DMN0', 'FSH'})"
"frozenset({'P82673', 'P82650', 'FSH'})"
"frozenset({'P22087', 'P46777', 'FSH'})"
"frozenset({'O00212', 'FSH', 'Q9H7D0'})"
"frozenset({'Q08379', 'Q92917', 'FSH'})"
"frozenset({'Q6ZW31', 'Q9HAU0', 'FSH'})"
"frozenset({'Q99961', 'P22607', 'FSH'})"
"frozenset({'P30154', 'Q9Y228', 'FSH'})"
"frozenset({'O14558', 'Q5JUK2', 'FSH'})"
"frozenset({'Q5T2T1', 'Q8N5S1', 'FSH'})"
"frozenset({'P04439', 'Q401N2', 'FSH'})"
"frozenset({'Q86X55', 'P19838', 'FSH'})"
"frozenset({'P16520', 'FSH', 'Q00975'})"
"frozenset({'Q9H1Y0', 'P00492', 'FSH'})"
"frozenset({'P07196', 'Q6NYC8', 'FSH'})"
"frozenset({'P61088', 'P07900', 'FSH'})"
"frozenset({'Q5VVX9', 'FSH', 'Q9BSM1'})"
"frozenset({'O60739', 'P13804', 'FSH'})"
"frozenset({'Q13469', 'Q99661', 'FSH'})"
"frozenset({'Q5BJF6', 'Q8IW35', 'FSH'})"
"frozenset({'P04629', 'P67775', 'FSH'})"
"frozenset({'Q9NZL3', 'Q13263', 'FSH'})"
"frozenset({'P35998', 'P54578', 'FSH'})"
"frozenset({'P04629', 'Q9NZL4', 'FSH'})"
"frozenset({'Q15052', 'P60763', 'FSH'})"
"frozenset({'Q99547', 'O60383', 'FSH'})"
"frozenset({'P48023', 'O43586', 'FSH'})"
"frozenset({'P35558', 'P0DP23', 'FSH'})"
"frozenset({'Q3B820', 'Q96KP6', 'FSH'})"
"frozenset({'Q13148', 'Q9Y6M1', 'FSH'})"
"frozenset({'Q8TBP0', 'P34897', 'FSH'})"
"frozenset({'P54727', 'Q05086', 'FSH'})"
"frozenset({'Q6P2E9', 'Q00688', 'FSH'})"
"frozenset({'Q96Q15', 'P62913', 'FSH'})"
"frozenset({'P10415', 'P45983', 'FSH'})"
"frozenset({'Q9BUF5', 'FSH', 'P03372'})"
"frozenset({'O76021', 'Q9NR30', 'FSH'})"
"frozenset({'Q96FV9', 'Q9C0E2', 'FSH'})"
"frozenset({'O43765', 'Q96G30', 'FSH'})"
"frozenset({'Q6ZPD8', 'Q8WV15', 'FSH'})"
"frozenset({'P32969', 'P05388', 'FSH'})"
"frozenset({'P17936', 'P78527', 'FSH'})"
"frozenset({'P14555', 'P46379', 'FSH'})"
"frozenset({'P46108', 'Q9NQW6', 'FSH'})"
"frozenset({'FSH', 'P21917', 'Q96NY7'})"
"frozenset({'P01112', 'P50151', 'FSH'})"
"frozenset({'Q15717', 'FSH', 'Q53EU6'})"
"frozenset({'Q9H0E7', 'P41208', 'FSH'})"
"frozenset({'Q09472', 'P17844', 'FSH'})"
"frozenset({'P62380', 'FSH', 'P54132'})"
"frozenset({'Q15365', 'FSH', 'Q8IWZ8'})"
"frozenset({'Q9NR46', 'Q5JVL4', 'FSH'})"
"frozenset({'P62851', 'FSH', 'P05067'})"
"frozenset({'P0DPB5', 'O15160', 'FSH'})"
