O00329	P62070
O00459	P15391
O00459	P22681
O00459	P27986
O00459	Q06124
O00459	Q13480
O00459	Q6ZUJ8
O00459	Q92835
O00459	Q9H400
O00459	Q9UQC2
O14492	P22681
O14492	P29353
O14492	P62993
O14920	P25963
O14986	Q06187
O15111	P25963
O15530	P31749
O43318	O14920
O43318	O95999
O43318	Q9BXL7
O43521	P10415
O60331	Q06187
O95999	O43318
O95999	Q9BXL7
O95999	Q9UDY8
P01100	P17275
P01871	P11912
P01871	P15391
P01871	P20273
P01871	P40259
P01871	Q05397
P01871	Q7Z6A9
P05771	O14920
P05771	O15111
P05771	Q06187
P05771	Q8IV61
P05771	Q9BXL7
P06127	P11912
P06127	P29350
P06127	P40259
P06239	P11912
P06239	P22681
P06239	P40259
P06239	P43405
P06241	P11912
P06241	P22681
P06241	P43405
P06241	P56945
P07948	P08575
P07948	P11912
P07948	P14317
P07948	P15391
P07948	P16885
P07948	P20273
P07948	P20936
P07948	P21854
P07948	P22681
P07948	P40259
P07948	P42680
P07948	P43405
P07948	P56945
P07948	Q05397
P07948	Q06187
P07948	Q14511
P07948	Q14643
P07948	Q8NDB2
P07948	Q9H400
P07948	Q9UQC2
P08575	P07948
P08631	P56945
P08631	Q7LFX5
P10114	P27986
P10415	O43521
P11802	P06400
P11802	P30279
P11802	P30281
P11912	P01871
P11912	P06127
P11912	P06239
P11912	P06241
P11912	P07948
P11912	P15391
P11912	P29350
P11912	P29353
P11912	P40259
P11912	P43405
P11912	P51451
P11912	Q7Z6A9
P11912	Q8WV28
P13164	P15391
P13164	P20023
P13164	P60033
P15391	O00459
P15391	P01871
P15391	P07948
P15391	P11912
P15391	P13164
P15391	P15498
P15391	P16885
P15391	P20023
P15391	P27986
P15391	P40259
P15391	P60033
P15391	P62993
P15391	Q06187
P15391	Q07889
P15391	Q7Z6A9
P15498	P15391
P15498	P43405
P15498	P46108
P15498	P52735
P15498	P61978
P15498	P62993
P15498	P78314
P15498	Q13094
P15498	Q8WV28
P15498	Q9GZY6
P16333	Q13094
P16333	Q8WV28
P16885	P07948
P16885	P15391
P16885	Q15139
P16885	Q8WV28
P16885	Q9H400
P16885	Q9UN19
P17275	P01100
P17275	P53539
P19174	P20273
P19174	P78314
P19174	Q13094
P19174	Q15139
P19174	Q8WV28
P19174	Q9UN19
P20023	P13164
P20023	P15391
P20023	P60033
P20248	P24941
P20273	P01871
P20273	P19174
P20273	P23634
P20273	P29350
P20273	P29353
P20273	P43405
P20273	P62993
P20273	Q13094
P20273	Q92835
P20936	P07948
P20936	Q99704
P21854	P29350
P21854	P62993
P22681	O00459
P22681	O14492
P22681	P06239
P22681	P06241
P22681	P07948
P22681	P27986
P22681	P29353
P22681	P43405
P22681	P46108
P22681	P46109
P22681	P51451
P22681	P52735
P22681	P62993
P22681	Q06187
P22681	Q9GZY6
P22681	Q9H6Q3
P23443	P62753
P23634	P20273
P24864	P24941
P24941	P06400
P24941	P20248
P24941	P24864
P27361	P31994
P27361	Q13480
P27361	Q9UQC2
P27986	O00459
P27986	P10114
P27986	P15391
P27986	P22681
P27986	Q06124
P27986	Q13480
P27986	Q6ZUJ8
P27986	Q92835
P27986	Q9H400
P27986	Q9UQC2
P28482	P15056
P28482	P19419
P28482	P31994
P28482	P41182
P28482	Q13480
P28482	Q96MX0
P28482	Q9UQC2
P29350	P06127
P29350	P11912
P29350	P20273
P29350	P21854
P29350	P40259
P29350	Q13094
P29350	Q8WV28
P29353	O14492
P29353	P11912
P29353	P20273
P29353	P22681
P29353	P62993
P29353	Q07889
P29353	Q07890
P29353	Q13480
P29353	Q92835
P30279	P11802
P30279	Q00534
P30281	P11802
P30281	Q00534
P31152	Q13480
P31152	Q9UQC2
P31749	P43403
P31749	P49840
P31749	P49841
P31749	P56279
P31749	Q12778
P31994	P27361
P31994	P28482
P40259	P01871
P40259	P06127
P40259	P11912
P40259	P15391
P40259	P29350
P40259	P43403
P40259	P43405
P40259	P51451
P40259	Q05397
P40259	Q7Z6A9
P41240	Q99704
P42680	P16885
P42680	P19174
P42680	Q99704
P42680	Q99952
P42680	Q9ULZ2
P43403	P31749
P43403	P40259
P43403	P56279
P43405	P11912
P43405	P14317
P43405	P15498
P43405	P16885
P43405	P19174
P43405	P20273
P43405	P20936
P43405	P21854
P43405	P22681
P43405	P27361
P43405	P29353
P43405	P40259
P43405	P52735
P43405	P78314
P43405	Q15139
P43405	Q15418
P43405	Q6ZUJ8
P43405	Q8WV28
P43405	Q9UQC2
P45983	P05412
P45983	P15336
P46108	P15498
P46108	P22681
P46108	P56945
P46108	Q13905
P46109	P22681
P46109	P56945
P46109	Q07889
P46109	Q07890
P46109	Q13905
P46109	Q14511
P48426	Q06187
P49137	P16220
P50570	Q9UJU6
P50613	P24941
P51451	P11912
P51451	P22681
P51451	P40259
P52735	P15498
P52735	P22681
P52735	P43405
P52735	P78314
P52735	Q9GZY6
P53539	P17275
P55210	P07948
P55211	P07948
P56279	P31749
P56279	P43403
P56945	P06241
P56945	P07948
P56945	P08631
P56945	P46108
P56945	P46109
P56945	Q14289
P60033	P13164
P60033	P15391
P60033	P20023
P61978	P15498
P62070	O00329
P62993	O14492
P62993	P15391
P62993	P15498
P62993	P20273
P62993	P21854
P62993	P22681
P62993	P29353
P62993	Q06124
P62993	Q07889
P62993	Q07890
P62993	Q13905
P62993	Q8WV28
P62993	Q92835
P62993	Q9GZY6
P62993	Q9H400
P78314	P15498
P78314	P19174
P78314	P43405
P78314	P52735
P78347	Q06187
P78356	Q06187
PDPK2	P31749
Q00534	P06400
Q00534	P30279
Q00534	P30281
Q04759	Q8IV61
Q04759	Q9BXL7
Q05397	P01871
Q05397	P07948
Q05397	P40259
Q06124	O00459
Q06124	P27986
Q06124	P62993
Q06124	Q13480
Q06124	Q9UQC2
Q06187	O14986
Q06187	O60331
Q06187	P15391
Q06187	P16885
Q06187	P19174
Q06187	P22681
Q06187	P48426
Q06187	P78347
Q06187	P78356
Q06187	Q6ZUJ8
Q06187	Q8TBX8
Q06187	Q8WV28
Q06187	Q96MX0
Q06187	Q99755
Q07889	P15391
Q07889	P29353
Q07889	P46109
Q07889	P62993
Q07889	Q8WV28
Q07889	Q9GZY6
Q07890	P29353
Q07890	P46109
Q07890	P62993
Q08209	Q12968
Q08209	Q13469
Q08881	P16885
Q08881	P19174
Q13094	P15498
Q13094	P16333
Q13094	P19174
Q13094	P20273
Q13191	P43405
Q13480	O00459
Q13480	P27361
Q13480	P27986
Q13480	P28482
Q13480	P29353
Q13480	P31152
Q13480	Q06124
Q13480	Q9GZY6
Q13905	P46108
Q13905	P46109
Q13905	P62993
Q14289	P56945
Q14289	Q14511
Q14289	Q9ULZ2
Q14511	P07948
Q14511	P46109
Q14511	Q14289
Q14571	Q8NDB2
Q15139	P16885
Q15139	P19174
Q15139	P43405
Q15418	P16220
Q16539	P15336
Q6ZUJ8	O00459
Q6ZUJ8	P27986
Q7L591	Q92835
Q7LFX5	P08631
Q7Z6A9	P01871
Q7Z6A9	P11912
Q7Z6A9	P15391
Q7Z6A9	P40259
Q8NDB2	Q14571
Q8TBX8	Q06187
Q8WV28	P11912
Q8WV28	P15498
Q8WV28	P16333
Q8WV28	P16885
Q8WV28	P19174
Q8WV28	P29350
Q8WV28	P62993
Q8WV28	Q06187
Q8WV28	Q07889
Q8WV28	Q92918
Q8WV28	Q96MX0
Q92835	O00459
Q92835	P20273
Q92835	P27986
Q92835	P29353
Q92835	P62993
Q92835	Q7L591
Q92918	Q8WV28
Q92918	Q9UN19
Q96MX0	P28482
Q96MX0	Q06187
Q96MX0	Q8WV28
Q99704	P20936
Q99704	P41240
Q99704	P42680
Q99755	Q06187
Q99952	P42680
Q9BXL7	O43318
Q9BXL7	O95999
Q9BXL7	P05771
Q9BXL7	Q9UDY8
Q9BXL7	Q9Y6K9
Q9GZY6	P15498
Q9GZY6	P22681
Q9GZY6	P52735
Q9GZY6	P62993
Q9GZY6	Q07889
Q9GZY6	Q13480
Q9H400	O00459
Q9H400	P16885
Q9H400	P27986
Q9H400	P62993
Q9H6Q3	P22681
Q9UDY8	O95999
Q9UDY8	Q9BXL7
Q9UJU6	P50570
Q9ULZ2	P42680
Q9UN19	P16885
Q9UN19	P19174
Q9UN19	Q92918
Q9UQC2	O00459
Q9UQC2	P27361
Q9UQC2	P27986
Q9UQC2	P28482
Q9UQC2	P31152
Q9UQC2	Q06124
Q9Y6K9	Q9BXL7
