#tail	head	weight	pathway_name	pathway_ID	edge_type	tail_symbol	head_symbol
P31749	Q9NR80	1	Wnt	8	physical	AKT1	ARHGEF4
P31749	O15169	1	Wnt	8	physical	AKT1	AXIN1
P31749	O14640	1	Wnt	8	physical	AKT1	DVL1
P31749	Q14397	1	Wnt	8	physical	AKT1	GCKR
P31749	P49841	1	Wnt	8	physical	AKT1	GSK3B
P25054	O15169	1	Wnt	8	physical	APC	AXIN1
P25054	Q9Y2T1	1	Wnt	8	physical	APC	AXIN2
P25054	Q9Y297	1	Wnt	8	physical	APC	BTRC
P25054	P36544	1	Wnt	8	physical	APC	CHRNA7
P25054	P35222	1	Wnt	8	physical	APC	CTNNB1
P25054	P49841	1	Wnt	8	physical	APC	GSK3B
P25054	Q13418	1	Wnt	8	physical	APC	ILK
P25054	P14923	1	Wnt	8	physical	APC	JUP
Q9NR80	P31749	1	Wnt	8	physical	ARHGEF4	AKT1
Q9NR80	O14640	1	Wnt	8	physical	ARHGEF4	DVL1
Q9NR80	Q14397	1	Wnt	8	physical	ARHGEF4	GCKR
Q9NR80	P49841	1	Wnt	8	physical	ARHGEF4	GSK3B
P49407	O14640	1	Wnt	8	physical	ARRB1	DVL1
P49407	O14641	1	Wnt	8	physical	ARRB1	DVL2
P32121	O14641	1	Wnt	8	physical	ARRB2	DVL2
P32121	Q9ULV1	1	Wnt	8	physical	ARRB2	FZD4
O15169	P31749	1	Wnt	8	physical	AXIN1	AKT1
O15169	P25054	1	Wnt	8	physical	AXIN1	APC
O15169	Q9Y297	1	Wnt	8	physical	AXIN1	BTRC
O15169	P19022	1	Wnt	8	physical	AXIN1	CDH2
O15169	P48729	1	Wnt	8	physical	AXIN1	CSNK1A1
O15169	P35222	1	Wnt	8	physical	AXIN1	CTNNB1
O15169	P98082	1	Wnt	8	physical	AXIN1	DAB2
O15169	Q155Q3	1	Wnt	8	physical	AXIN1	DIXDC1
O15169	O14640	1	Wnt	8	physical	AXIN1	DVL1
O15169	O14641	1	Wnt	8	physical	AXIN1	DVL2
O15169	Q92997	1	Wnt	8	physical	AXIN1	DVL3
